AnnoA;ClasseNUMERO;ClasseNOME;SESSO;Isc
2024/2025;LM/GASTR;Scienze economiche  e sociali della gastronomia;M;46
2024/2025;LM/SC-GIUR;Scienze Giuridiche;F;1129
2024/2025;LM/SC-GIUR;Scienze Giuridiche;M;524
2024/2025;LM/SNT1;Scienze infermieristiche e ostetriche;F;3558
2024/2025;LM/SNT1;Scienze infermieristiche e ostetriche;M;1225
2024/2025;LM/SNT2;Scienze riabilitative delle professioni sanitarie;F;1216
2024/2025;LM/SNT2;Scienze riabilitative delle professioni sanitarie;M;383
2024/2025;LM/SNT3;Scienze delle professioni sanitarie tecniche;F;708
2024/2025;LM/SNT3;Scienze delle professioni sanitarie tecniche;M;456
2024/2025;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;F;369
2024/2025;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;M;264
2024/2025;LM-1;Antropologia culturale ed etnologia;F;1245
2024/2025;LM-1;Antropologia culturale ed etnologia;M;514
2024/2025;LM-10;Conservazione dei beni architettonici e ambientali;F;1
2024/2025;LM-11;Scienze per la conservazione dei beni culturali;F;200
2024/2025;LM-11;Scienze per la conservazione dei beni culturali;M;40
2024/2025;LM-12;Design;F;2738
2024/2025;LM-12;Design;M;1321
2024/2025;LM-13;Farmacia e farmacia industriale;F;24763
2024/2025;LM-13;Farmacia e farmacia industriale;M;8162
2024/2025;LM-14;Filologia moderna;F;10227
2024/2025;LM-14;Filologia moderna;M;2937
2024/2025;LM-15;Filologia, letterature e storia dell'antichità;F;1158
2024/2025;LM-15;Filologia, letterature e storia dell'antichità;M;557
2024/2025;LM-16;Finanza;F;1035
2024/2025;LM-16;Finanza;M;2321
2024/2025;LM-17;Fisica;F;1493
2024/2025;LM-17;Fisica;M;3456
2024/2025;LM-18;Informatica;F;1074
2024/2025;LM-18;Informatica;M;4629
2024/2025;LM-19;Informazione e sistemi editoriali;F;2330
2024/2025;LM-19;Informazione e sistemi editoriali;M;818
2024/2025;LM-2;Archeologia;F;1750
2024/2025;LM-2;Archeologia;M;963
2024/2025;LM-20;Ingegneria aerospaziale e astronautica;F;1061
2024/2025;LM-20;Ingegneria aerospaziale e astronautica;M;3764
2024/2025;LM-21;Ingegneria biomedica;F;3954
2024/2025;LM-21;Ingegneria biomedica;M;2652
2024/2025;LM-22;Ingegneria chimica;F;1235
2024/2025;LM-22;Ingegneria chimica;M;1614
2024/2025;LM-23;Ingegneria civile;F;1718
2024/2025;LM-23;Ingegneria civile;M;4280
2024/2025;LM-24;Ingegneria dei sistemi edilizi;F;925
2024/2025;LM-24;Ingegneria dei sistemi edilizi;M;1144
2024/2025;LM-25;Ingegneria dell'automazione;F;624
2024/2025;LM-25;Ingegneria dell'automazione;M;2654
2024/2025;LM-26;Ingegneria della sicurezza;F;619
2024/2025;LM-26;Ingegneria della sicurezza;M;1843
2024/2025;LM-27;Ingegneria delle telecomunicazioni;F;583
2024/2025;LM-27;Ingegneria delle telecomunicazioni;M;1478
2024/2025;LM-28;Ingegneria elettrica;F;319
2024/2025;LM-28;Ingegneria elettrica;M;1706
2024/2025;LM-29;Ingegneria elettronica;F;732
2024/2025;LM-29;Ingegneria elettronica;M;3220
2024/2025;LM-3;Architettura del paesaggio;F;510
2024/2025;LM-3;Architettura del paesaggio;M;254
2024/2025;LM-30;Ingegneria energetica e nucleare;F;891
2024/2025;LM-30;Ingegneria energetica e nucleare;M;2923
2024/2025;LM-31;Ingegneria gestionale;F;4731
2024/2025;LM-31;Ingegneria gestionale;M;8679
2024/2025;LM-32;Ingegneria informatica;F;2413
2024/2025;LM-32;Ingegneria informatica;M;10768
2024/2025;LM-33;Ingegneria meccanica;F;1673
2024/2025;LM-33;Ingegneria meccanica;M;10678
2024/2025;LM-34;Ingegneria navale;F;114
2024/2025;LM-34;Ingegneria navale;M;332
2024/2025;LM-35;Ingegneria per l'ambiente e il territorio;F;1117
2024/2025;LM-35;Ingegneria per l'ambiente e il territorio;M;1529
2024/2025;LM-36;Lingue e letterature dell'Africa e dell'Asia;F;713
2024/2025;LM-36;Lingue e letterature dell'Africa e dell'Asia;M;238
2024/2025;LM-37;Lingue e letterature moderne europee e americane;F;7648
2024/2025;LM-37;Lingue e letterature moderne europee e americane;M;1423
2024/2025;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;F;5638
2024/2025;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;M;924
2024/2025;LM-39;Linguistica;F;6936
2024/2025;LM-39;Linguistica;M;1206
2024/2025;LM-4;Architettura e ingegneria edile-architettura;F;4840
2024/2025;LM-4;Architettura e ingegneria edile-architettura;M;2894
2024/2025;LM-40;Matematica;F;1689
2024/2025;LM-40;Matematica;M;1867
2024/2025;LM-41;Medicina e chirurgia;9;1
2024/2025;LM-41;Medicina e chirurgia;F;66864
2024/2025;LM-41;Medicina e chirurgia;M;41435
2024/2025;LM-42;Medicina veterinaria;F;4770
2024/2025;LM-42;Medicina veterinaria;M;1424
2024/2025;LM-43;Metodologie informatiche per le discipline umanistiche;F;936
2024/2025;LM-43;Metodologie informatiche per le discipline umanistiche;M;316
2024/2025;LM-44;Modellistica matematico-fisica per l'ingegneria;F;611
2024/2025;LM-44;Modellistica matematico-fisica per l'ingegneria;M;1351
2024/2025;LM-45;Musicologia e beni musicali;F;428
2024/2025;LM-45;Musicologia e beni musicali;M;291
2024/2025;LM-46;Odontoiatria e protesi dentaria;F;4287
2024/2025;LM-46;Odontoiatria e protesi dentaria;M;3372
2024/2025;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;F;3926
2024/2025;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;M;5455
2024/2025;LM-48;Pianificazione territoriale urbanistica e ambientale;F;530
2024/2025;LM-48;Pianificazione territoriale urbanistica e ambientale;M;390
2024/2025;LM-49;Progettazione e gestione dei sistemi turistici;F;1634
2024/2025;LM-49;Progettazione e gestione dei sistemi turistici;M;581
2024/2025;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;10339
2024/2025;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;6215
2024/2025;LM-5;Archivistica e biblioteconomia;F;448
2024/2025;LM-5;Archivistica e biblioteconomia;M;157
2024/2025;LM-50;Programmazione e gestione dei servizi educativi;F;2591
2024/2025;LM-50;Programmazione e gestione dei servizi educativi;M;247
2024/2025;LM-51;Psicologia;F;25283
2024/2025;LM-51;Psicologia;M;5846
2024/2025;LM-52;Relazioni internazionali;F;6083
2024/2025;LM-52;Relazioni internazionali;M;3373
2024/2025;LM-53;Ingegneria dei materiali;F;494
2024/2025;LM-53;Ingegneria dei materiali;M;828
2024/2025;LM-53;Scienza e ingegneria dei materiali;F;152
2024/2025;LM-53;Scienza e ingegneria dei materiali;M;272
2024/2025;LM-54;Scienze chimiche;F;1652
2024/2025;LM-54;Scienze chimiche;M;1636
2024/2025;LM-55;Scienze cognitive;F;559
2024/2025;LM-55;Scienze cognitive;M;264
2024/2025;LM-56;Scienze dell'economia;F;6635
2024/2025;LM-56;Scienze dell'economia;M;7600
2024/2025;LM-57;Scienze dell'educazione degli adulti e della formazione continua;F;997
2024/2025;LM-57;Scienze dell'educazione degli adulti e della formazione continua;M;172
2024/2025;LM-58;Scienze dell'universo;F;173
2024/2025;LM-58;Scienze dell'universo;M;267
2024/2025;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;F;5214
2024/2025;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;M;1911
2024/2025;LM-6;Biologia;F;7638
2024/2025;LM-6;Biologia;M;3021
2024/2025;LM-60;Scienze della natura;F;767
2024/2025;LM-60;Scienze della natura;M;496
2024/2025;LM-61;Scienze della nutrizione umana;F;6425
2024/2025;LM-61;Scienze della nutrizione umana;M;3454
2024/2025;LM-62;Scienze della politica;F;1962
2024/2025;LM-62;Scienze della politica;M;1618
2024/2025;LM-63;Scienze delle pubbliche amministrazioni;F;2588
2024/2025;LM-63;Scienze delle pubbliche amministrazioni;M;1711
2024/2025;LM-64;Scienze delle religioni;F;236
2024/2025;LM-64;Scienze delle religioni;M;193
2024/2025;LM-65;Scienze dello spettacolo e produzione multimediale;F;2674
2024/2025;LM-65;Scienze dello spettacolo e produzione multimediale;M;1300
2024/2025;LM-66;Sicurezza informatica;F;216
2024/2025;LM-66;Sicurezza informatica;M;1237
2024/2025;LM-67;Scienze e tecniche delle attivita' motorie preventive e adattate;M;2
2024/2025;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;3963
2024/2025;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;M;6365
2024/2025;LM-68;Scienze e tecniche dello sport;F;773
2024/2025;LM-68;Scienze e tecniche dello sport;M;2175
2024/2025;LM-69;Scienze e tecnologie agrarie;F;825
2024/2025;LM-69;Scienze e tecnologie agrarie;M;1952
2024/2025;LM-7;Biotecnologie agrarie;F;443
2024/2025;LM-7;Biotecnologie agrarie;M;341
2024/2025;LM-70;Scienze e tecnologie alimentari;F;1328
2024/2025;LM-70;Scienze e tecnologie alimentari;M;1129
2024/2025;LM-71;Scienze e tecnologie della chimica industriale;F;581
2024/2025;LM-71;Scienze e tecnologie della chimica industriale;M;565
2024/2025;LM-72;Scienze e tecnologie della navigazione;F;35
2024/2025;LM-72;Scienze e tecnologie della navigazione;M;95
2024/2025;LM-73;Scienze e tecnologie forestali ed ambientali;F;381
2024/2025;LM-73;Scienze e tecnologie forestali ed ambientali;M;532
2024/2025;LM-74;Scienze e tecnologie geologiche;F;530
2024/2025;LM-74;Scienze e tecnologie geologiche;M;895
2024/2025;LM-75;Scienze e tecnologie per l'ambiente e il territorio;F;759
2024/2025;LM-75;Scienze e tecnologie per l'ambiente e il territorio;M;701
2024/2025;LM-76;Scienze economiche per l'ambiente e la cultura;F;999
2024/2025;LM-76;Scienze economiche per l'ambiente e la cultura;M;403
2024/2025;LM-77;Scienze economico-aziendali;9;1
2024/2025;LM-77;Scienze economico-aziendali;F;22691
2024/2025;LM-77;Scienze economico-aziendali;M;21580
2024/2025;LM-78;Scienze filosofiche;F;2647
2024/2025;LM-78;Scienze filosofiche;M;2774
2024/2025;LM-79;Scienze geofisiche;F;77
2024/2025;LM-79;Scienze geofisiche;M;139
2024/2025;LM-8;Biotecnologie industriali;F;1147
2024/2025;LM-8;Biotecnologie industriali;M;807
2024/2025;LM-80;Scienze geografiche;F;265
2024/2025;LM-80;Scienze geografiche;M;263
2024/2025;LM-81;Scienze per la cooperazione allo sviluppo;F;1675
2024/2025;LM-81;Scienze per la cooperazione allo sviluppo;M;613
2024/2025;LM-82;Scienze statistiche;F;881
2024/2025;LM-82;Scienze statistiche;M;1123
2024/2025;LM-83;Scienze statistiche attuariali e finanziarie;F;273
2024/2025;LM-83;Scienze statistiche attuariali e finanziarie;M;448
2024/2025;LM-84;Scienze storiche;F;2070
2024/2025;LM-84;Scienze storiche;M;3232
2024/2025;LM-85;Scienze pedagogiche;F;13451
2024/2025;LM-85;Scienze pedagogiche;M;1124
2024/2025;LM-85 bis;Scienze della formazione primaria;F;42705
2024/2025;LM-85 bis;Scienze della formazione primaria;M;2609
2024/2025;LM-86;Scienze zootecniche e tecnologie  animali;F;492
2024/2025;LM-86;Scienze zootecniche e tecnologie  animali;M;305
2024/2025;LM-87;Servizio sociale e politiche sociali;F;4433
2024/2025;LM-87;Servizio sociale e politiche sociali;M;399
2024/2025;LM-88;Sociologia e ricerca sociale;F;2180
2024/2025;LM-88;Sociologia e ricerca sociale;M;765
2024/2025;LM-89;Storia dell'arte;F;4446
2024/2025;LM-89;Storia dell'arte;M;1068
2024/2025;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;4950
2024/2025;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;M;1735
2024/2025;LM-90;Studi europei;F;1088
2024/2025;LM-90;Studi europei;M;523
2024/2025;LM-91;Tecniche e metodi per la societa dell'informazione;F;783
2024/2025;LM-91;Tecniche e metodi per la societa dell'informazione;M;1047
2024/2025;LM-92;Teorie della comunicazione;F;2055
2024/2025;LM-92;Teorie della comunicazione;M;703
2024/2025;LM-93;Teorie e metodologie dell'e-learning e della media education;F;304
2024/2025;LM-93;Teorie e metodologie dell'e-learning e della media education;M;79
2024/2025;LM-94;Traduzione specialistica e interpretariato;F;1757
2024/2025;LM-94;Traduzione specialistica e interpretariato;M;320
2024/2025;LM-Data;Data Science;F;626
2024/2025;LM-Data;Data Science;M;1251
2024/2025;LMG/01;Magistrali in giurisprudenza;F;69447
2024/2025;LMG/01;Magistrali in giurisprudenza;M;36035
2024/2025;LMR/02;Conservazione e restauro dei beni culturali;F;473
2024/2025;LMR/02;Conservazione e restauro dei beni culturali;M;68
2024/2025;LM-Sc.Mat.;Scienze dei Materiali;F;133
2024/2025;LM-Sc.Mat.;Scienze dei Materiali;M;208
2024/2025;L-P01;Professioni tecniche per l'edilizia e il territorio;F;228
2024/2025;L-P01;Professioni tecniche per l'edilizia e il territorio;M;800
2024/2025;L-P02;Professioni tecniche agrarie, alimentari e forestali;F;91
2024/2025;L-P02;Professioni tecniche agrarie, alimentari e forestali;M;222
2024/2025;L-P03;Professioni tecniche industriali e dell’informazione;F;88
2024/2025;L-P03;Professioni tecniche industriali e dell’informazione;M;764
2024/2025;L-Sc.Mat.;Scienze dei Materiali;F;138
2024/2025;L-Sc.Mat.;Scienze dei Materiali;M;288
2024/2025;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;74
2024/2025;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;25
2024/2025;SNT1/S;Specialistiche nelle scienze delle professioni sanitarie tecniche;F;2
2024/2025;SNT1/S;Specialistiche nelle scienze delle professioni sanitarie tecniche;M;1
2024/2025;SNT1/S;Specialistiche nelle scienze infermieristiche e ostetriche;F;1
2024/2025;SNT1/S;Specialistiche nelle scienze infermieristiche e ostetriche;M;2
2024/2025;SNT2;Professioni sanitarie della riabilitazione;F;12
2024/2025;SNT2;Professioni sanitarie della riabilitazione;M;11
2024/2025;SNT3;Professioni sanitarie tecniche;F;9
2024/2025;SNT3;Professioni sanitarie tecniche;M;10
2024/2025;SNT4;Professioni sanitarie della prevenzione;F;2
2024/2025;SNT4;Professioni sanitarie della prevenzione;M;3
