ANNO_ACCADEMICO;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;TIPOLOGIA_ISTITUTO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;2;Posti a concorso e posti confermati - N° idonei;26;4;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;3;Posti a concorso e posti confermati - N° ammessi;17;4;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;59;8;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;46;4;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;13;4;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;11;Mobilità internazionale - N° domande contributi;12;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;12;Mobilità internazionale - N° contributi concessi;12;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;35;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;0;0
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;2;Posti a concorso e posti confermati - N° idonei;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;3;Posti a concorso e posti confermati - N° ammessi;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0604;Collegio Universitario L. Fonda di Trieste;I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;541;0;280;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;2;Posti a concorso e posti confermati - N° idonei;429;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;3;Posti a concorso e posti confermati - N° ammessi;426;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;905;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;22;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;819;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;490;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;11;Mobilità internazionale - N° domande contributi;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;12;Mobilità internazionale - N° contributi concessi;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;0;0
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;25;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;2;Posti a concorso e posti confermati - N° idonei;23;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;3;Posti a concorso e posti confermati - N° ammessi;18;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;39;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;1;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;38;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;18;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0805;Fondazione Ceur - Centro europeo università e ricerca;I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;78;1;54;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;2;Posti a concorso e posti confermati - N° idonei;52;1;24;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;3;Posti a concorso e posti confermati - N° ammessi;37;1;1;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;85;0;1;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;4;1;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;40;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;78;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;11;Mobilità internazionale - N° domande contributi;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;12;Mobilità internazionale - N° contributi concessi;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;0;0
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;2;Posti a concorso e posti confermati - N° idonei;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;3;Posti a concorso e posti confermati - N° ammessi;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;2;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;2;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;11;Mobilità internazionale - N° domande contributi;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;12;Mobilità internazionale - N° contributi concessi;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;13;Mobilità internazionale - N° complessivo di mesi in mobilità;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;16;Attività di collaborazione a tempo parziale - N° collaborazioni;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;;
2024-2025 ;CLR;0806;Fondazione Collegio San Carlo di Modena;I_AF;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;0;0;;
2024-2025 ;CS;0904;Scuola normale superiore;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;812;5;1534;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;2;Posti a concorso e posti confermati - N° idonei;111;1;181;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;3;Posti a concorso e posti confermati - N° ammessi;75;1;85;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;250;0;294;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;223;0;0;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;0;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;0;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;94;0;399;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;11;Mobilità internazionale - N° domande contributi;78;22;146;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;12;Mobilità internazionale - N° contributi concessi;51;12;126;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;227;37;503;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;3;0;N;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;3;0;N;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;90;0;55;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);15;0;15;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;146;0;37;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;39;0;40;0
2024-2025 ;CS;0904;Scuola normale superiore;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;1509;0;606;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;558;0;2601;360
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;2;Posti a concorso e posti confermati - N° idonei;145;0;248;263
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;3;Posti a concorso e posti confermati - N° ammessi;83;0;119;169
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;234;0;235;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;314;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;32;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;3;0;297;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;11;Mobilità internazionale - N° domande contributi;209;89;105;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;12;Mobilità internazionale - N° contributi concessi;170;57;105;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;345;55;550;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;21;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);8;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;0;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;12;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CS;0905;Scuola Superiore di studi universitari e di perfezionamento Sant'Anna;I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;317;0;92040;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;30;3;10;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;2;Posti a concorso e posti confermati - N° idonei;30;3;0;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;3;Posti a concorso e posti confermati - N° ammessi;30;3;0;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;32;0;0;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;25;3;8;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;0;0;0;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;28;0;0;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;1002;Collegio della Sapienza - Fondazione ONAOSI di Perugia;I   ;11;Mobilità internazionale - N° domande contributi;0;0;0;0
