ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCRITTI
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO;DCPL27;Flauto;F;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;SAXOFONO;DCPL41;Saxofono;M;7
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;SAXOFONO;DCPL41;Saxofono;F;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBA;DCPL46;Tromba;M;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBONE;DCPL49;Trombone;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);FAGOTTO;-;Fagotto;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);FLAUTO;-;Flauto;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);FLAUTO;-;Flauto;F;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);SAXOFONO;-;Saxofono;M;7
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);FAGOTTO;-;Fagotto;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;FISARMONICA;DCPL26;Fisarmonica;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;PIANOFORTE;DCPL39;Pianoforte;M;18
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;PIANOFORTE;DCPL39;Pianoforte;F;18
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso Diploma accademico 1L;STRUMENTI A PERCUSSIONE;DCPL44;Strumenti a percussione;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso sperimentale biennale_2L (ad esaurim.);FISARMONICA;-;Fisarmonica;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso sperimentale biennale_2L (ad esaurim.);PIANOFORTE;-;Accompagnatore e Collaboratore al pianoforte;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso sperimentale biennale_2L (ad esaurim.);PIANOFORTE;-;Accompagnatore e Collaboratore al pianoforte;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso sperimentale biennale_2L (ad esaurim.);PIANOFORTE;-;Pianoforte;M;5
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso sperimentale biennale_2L (ad esaurim.);PIANOFORTE;-;Pianoforte;F;7
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso Vecchio Ordinamento (ad esaurim.);PIANOFORTE;-;Pianoforte;M;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti a tastiera e a percussione;AFAM_Corso Vecchio Ordinamento (ad esaurim.);PIANOFORTE;-;Pianoforte;F;8
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;CHITARRA;DCPL09;Chitarra;M;5
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;CHITARRA;DCPL09;Chitarra;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;CONTRABBASSO;DCPL16;Contrabbasso;M;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLINO;DCPL54;Violino;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLINO;DCPL54;Violino;F;7
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLONCELLO;DCPL57;Violoncello;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso Diploma accademico 1L;VIOLONCELLO;DCPL57;Violoncello;F;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CHITARRA;-;Chitarra;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CHITARRA;-;Chitarra;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CONTRABBASSO;-;Contrabbasso;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso sperimentale biennale_2L (ad esaurim.);VIOLA;-;Viola;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso sperimentale biennale_2L (ad esaurim.);VIOLINO;-;Violino;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso sperimentale biennale_2L (ad esaurim.);VIOLINO;-;Violino;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Strumenti ad arco e a corda;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CHITARRA;-;Chitarra;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Teoria e analisi, composizione e direzione;AFAM_Corso Diploma accademico 1L;COMPOSIZIONE;DCPL15;Composizione;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovambattista Pergolesi;FERMO;7203;MARCHE;Teoria e analisi, composizione e direzione;AFAM_Corso sperimentale biennale_2L (ad esaurim.);COMPOSIZIONE;-;Composizione;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL06;Canto;M;10
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL06;Canto;F;19
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL08;Canto rinascimentale barocco;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso Diploma accademico 1L;CANTO;DCPL08;Canto rinascimentale barocco;F;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CANTO;-;Canto;M;21
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CANTO;-;Canto;F;18
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CANTO;-;Canto rinascimentale barocco;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CANTO;-;Canto rinascimentale barocco;F;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso sperimentale biennale_2L (ad esaurim.);MUSICA DA CAMERA;-;Musica da camera;M;7
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Canto e teatro musicale;AFAM_Corso sperimentale biennale_2L (ad esaurim.);MUSICA DA CAMERA;-;Musica da camera;F;4
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Didattica;AFAM_Corso Diploma accademico 1L;DIDATTICA DELLA MUSICA E DELLO STRUMENTO;DCPL21;Didattica della Musica;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Didattica;AFAM_Corso Diploma accademico 1L;DIDATTICA DELLA MUSICA E DELLO STRUMENTO;DCPL21;Didattica della Musica;F;6
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL03;Basso Elettrico;M;4
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL05;Batteria e Percussioni Jazz;M;7
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL05;Batteria e Percussioni Jazz;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL07;Canto Jazz;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL07;Canto Jazz;F;9
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL10;Chitarra Jazz;M;7
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL10;Chitarra Jazz;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL12;Clarinetto Jazz;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL17;Contrabbasso Jazz;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL40;Pianoforte Jazz;M;5
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL40;Pianoforte Jazz;F;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL42;Saxofono Jazz;M;9
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL42;Saxofono Jazz;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL45;Tastiere elettroniche;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL47;Tromba Jazz;M;4
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;JAZZ;DCPL56;Violino Jazz;F;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;MUSICA ELETTRONICA;DCPL60;Musica applicata;M;21
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;MUSICA ELETTRONICA;DCPL60;Musica applicata;F;5
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;MUSICA ELETTRONICA;DCPL34;Musica Elettronica;M;34
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso Diploma accademico 1L;MUSICA ELETTRONICA;DCPL34;Musica Elettronica;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Basso Elettrico;M;5
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Batteria e Percussioni Jazz;M;4
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Canto Jazz;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Canto Jazz;F;7
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Chitarra Jazz;M;8
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Chitarra Jazz;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Clarinetto Jazz;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Contrabbasso Jazz;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Pianoforte Jazz;M;8
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);JAZZ;-;Saxofono Jazz;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);MUSICA ELETTRONICA;-;Musica Elettronica: - Ind. Composizione audiovisiva e Sound design;M;16
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Nuove tecnologie e linguaggi musicali;AFAM_Corso sperimentale biennale_2L (ad esaurim.);MUSICA ELETTRONICA;-;Musica Elettronica: - Ind. Composizione audiovisiva e Sound design;F;4
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;BASSO TUBA;DCPL04;Basso tuba;M;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;CLARINETTO;DCPL11;Clarinetto;M;6
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;CORNO;DCPL19;Corno;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FAGOTTO;DCPL24;Fagotto;M;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FAGOTTO;DCPL24;Fagotto;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO;DCPL27;Flauto;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO;DCPL27;Flauto;F;5
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO DOLCE;DCPL28;Flauto dolce;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO DOLCE;DCPL28;Flauto dolce;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO DOLCE;DCPL29;Flauto traversiere;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;FLAUTO DOLCE;DCPL29;Flauto traversiere;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;OBOE;DCPL36;Oboe;M;4
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;OBOE;DCPL36;Oboe;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;SAXOFONO;DCPL41;Saxofono;M;9
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;SAXOFONO;DCPL41;Saxofono;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBA;DCPL46;Tromba;M;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBA;DCPL46;Tromba;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBA;DCPL48;Tromba rinascimentale e barocca;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Diploma accademico 1L;TROMBONE;DCPL49;Trombone;M;3
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CLARINETTO;-;Clarinetto;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);CORNO;-;Corno;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);FAGOTTO;-;Fagotto;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);FLAUTO;-;Flauto;F;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);OBOE;-;Oboe;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);SAXOFONO;-;Saxofono;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso sperimentale biennale_2L (ad esaurim.);TROMBA;-;Tromba;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CLARINETTO;-;Clarinetto;M;2
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);CORNO;-;Corno;M;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);FAGOTTO;-;Fagotto;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);FLAUTO;-;Flauto;F;1
2017-2018;Conservatorio di Musica;Area Musicale/Coreutica;Giovan B. Martini;BOLOGNA;7199;EMILIA ROMAGNA;Strumenti a fiato;AFAM_Corso Vecchio Ordinamento (ad esaurim.);SAXOFONO;-;Saxofono;M;1
