ANNO;CL_ETA';COD_QUALIFICA;DESC_QUALIFICA;N_PERS_DR
2022;45 - 49;3RU;Ricercatore a tempo indeterminato;768
2022;50 - 54;3RU;Ricercatore a tempo indeterminato;1159
2022;55 - 59;3RU;Ricercatore a tempo indeterminato;1390
2022;60 - 64;3RU;Ricercatore a tempo indeterminato;1402
2022;>= 65;3RU;Ricercatore a tempo indeterminato;459
2022;< 25;4AR;Titolare di assegno di ricerca;138
2022;25 - 29;4AR;Titolare di assegno di ricerca;3741
2022;30 - 34;4AR;Titolare di assegno di ricerca;6592
2022;35 - 39;4AR;Titolare di assegno di ricerca;3095
2022;40 - 44;4AR;Titolare di assegno di ricerca;1142
2022;45 - 49;4AR;Titolare di assegno di ricerca;566
2022;50 - 54;4AR;Titolare di assegno di ricerca;275
2022;55 - 59;4AR;Titolare di assegno di ricerca;120
2022;60 - 64;4AR;Titolare di assegno di ricerca;38
2022;>= 65;4AR;Titolare di assegno di ricerca;36
2023;30 - 34;1PO;Professore I fascia (ordinario);1
2023;35 - 39;1PO;Professore I fascia (ordinario);47
2023;40 - 44;1PO;Professore I fascia (ordinario);400
2023;45 - 49;1PO;Professore I fascia (ordinario);1618
2023;50 - 54;1PO;Professore I fascia (ordinario);2756
2023;55 - 59;1PO;Professore I fascia (ordinario);4081
2023;60 - 64;1PO;Professore I fascia (ordinario);4224
2023;>= 65;1PO;Professore I fascia (ordinario);3447
2023;30 - 34;2PA;Professore II fascia (associato);38
2023;35 - 39;2PA;Professore II fascia (associato);1192
2023;40 - 44;2PA;Professore II fascia (associato);3653
2023;45 - 49;2PA;Professore II fascia (associato);6019
2023;50 - 54;2PA;Professore II fascia (associato);5612
2023;55 - 59;2PA;Professore II fascia (associato);4614
2023;60 - 64;2PA;Professore II fascia (associato);3454
2023;>= 65;2PA;Professore II fascia (associato);1890
2023;25 - 29;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;267
2023;25 - 29;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;3
2023;25 - 29;3RTD;Ricercatore a tempo determinato L. 79/2022;3
2023;30 - 34;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;3099
2023;30 - 34;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;530
2023;30 - 34;3RTD;Ricercatore a tempo determinato L. 79/2022;42
2023;35 - 39;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;3306
2023;35 - 39;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;2480
2023;35 - 39;3RTD;Ricercatore a tempo determinato L. 79/2022;53
2023;40 - 44;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;1527
2023;40 - 44;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1976
2023;40 - 44;3RTD;Ricercatore a tempo determinato L. 79/2022;26
2023;45 - 49;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;649
2023;45 - 49;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1136
2023;45 - 49;3RTD;Ricercatore a tempo determinato L. 79/2022;17
2023;50 - 54;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;232
2023;50 - 54;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;438
2023;50 - 54;3RTD;Ricercatore a tempo determinato L. 79/2022;4
2023;55 - 59;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;109
2023;55 - 59;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;159
2023;55 - 59;3RTD;Ricercatore a tempo determinato L. 79/2022;4
2023;60 - 64;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;31
2023;60 - 64;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;38
2023;>= 65;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;2
2023;>= 65;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;6
2023;40 - 44;3RU;Ricercatore a tempo indeterminato;68
2023;45 - 49;3RU;Ricercatore a tempo indeterminato;583
2023;50 - 54;3RU;Ricercatore a tempo indeterminato;1035
2023;55 - 59;3RU;Ricercatore a tempo indeterminato;1322
2023;60 - 64;3RU;Ricercatore a tempo indeterminato;1341
2023;>= 65;3RU;Ricercatore a tempo indeterminato;482
2023;< 25;4AR;Titolare di assegno di ricerca;161
2023;25 - 29;4AR;Titolare di assegno di ricerca;4096
2023;30 - 34;4AR;Titolare di assegno di ricerca;6580
2023;35 - 39;4AR;Titolare di assegno di ricerca;2882
2023;40 - 44;4AR;Titolare di assegno di ricerca;1141
2023;45 - 49;4AR;Titolare di assegno di ricerca;542
2023;50 - 54;4AR;Titolare di assegno di ricerca;265
2023;55 - 59;4AR;Titolare di assegno di ricerca;135
2023;60 - 64;4AR;Titolare di assegno di ricerca;56
2023;>= 65;4AR;Titolare di assegno di ricerca;33
2024;30 - 34;1PO;Professore I fascia (ordinario);4
2024;35 - 39;1PO;Professore I fascia (ordinario);52
2024;40 - 44;1PO;Professore I fascia (ordinario);466
2024;45 - 49;1PO;Professore I fascia (ordinario);1714
2024;50 - 54;1PO;Professore I fascia (ordinario);3000
2024;55 - 59;1PO;Professore I fascia (ordinario);4193
2024;60 - 64;1PO;Professore I fascia (ordinario);4550
2024;>= 65;1PO;Professore I fascia (ordinario);3716
2024;25 - 29;2PA;Professore II fascia (associato);2
2024;30 - 34;2PA;Professore II fascia (associato);97
2024;35 - 39;2PA;Professore II fascia (associato);1562
2024;40 - 44;2PA;Professore II fascia (associato);4030
2024;45 - 49;2PA;Professore II fascia (associato);6043
2024;50 - 54;2PA;Professore II fascia (associato);5830
2024;55 - 59;2PA;Professore II fascia (associato);4618
2024;60 - 64;2PA;Professore II fascia (associato);3594
2024;>= 65;2PA;Professore II fascia (associato);2070
2024;25 - 29;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;161
2024;25 - 29;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1
2024;25 - 29;3RTD;Ricercatore a tempo determinato L. 79/2022;16
2024;30 - 34;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;2558
2024;30 - 34;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;369
2024;30 - 34;3RTD;Ricercatore a tempo determinato L. 79/2022;445
2024;35 - 39;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;2756
2024;35 - 39;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;2026
2024;35 - 39;3RTD;Ricercatore a tempo determinato L. 79/2022;539
2024;40 - 44;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;1376
2024;40 - 44;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;1583
2024;40 - 44;3RTD;Ricercatore a tempo determinato L. 79/2022;352
2024;45 - 49;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;574
2024;45 - 49;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;864
2024;45 - 49;3RTD;Ricercatore a tempo determinato L. 79/2022;166
2024;50 - 54;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;255
2024;50 - 54;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;365
2024;50 - 54;3RTD;Ricercatore a tempo determinato L. 79/2022;59
2024;55 - 59;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;93
2024;55 - 59;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;133
2024;55 - 59;3RTD;Ricercatore a tempo determinato L. 79/2022;24
2024;60 - 64;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;40
2024;60 - 64;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;45
2024;60 - 64;3RTD;Ricercatore a tempo determinato L. 79/2022;12
2024;>= 65;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;2
2024;>= 65;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;7
2024;40 - 44;3RU;Ricercatore a tempo indeterminato;28
2024;45 - 49;3RU;Ricercatore a tempo indeterminato;384
2024;50 - 54;3RU;Ricercatore a tempo indeterminato;917
2024;55 - 59;3RU;Ricercatore a tempo indeterminato;1209
2024;60 - 64;3RU;Ricercatore a tempo indeterminato;1221
2024;>= 65;3RU;Ricercatore a tempo indeterminato;512
2024;< 25;4AR;Titolare di assegno di ricerca;294
2024;25 - 29;4AR;Titolare di assegno di ricerca;7684
2024;30 - 34;4AR;Titolare di assegno di ricerca;9774
2024;35 - 39;4AR;Titolare di assegno di ricerca;4240
2024;40 - 44;4AR;Titolare di assegno di ricerca;1657
2024;45 - 49;4AR;Titolare di assegno di ricerca;758
2024;50 - 54;4AR;Titolare di assegno di ricerca;404
2024;55 - 59;4AR;Titolare di assegno di ricerca;188
2024;60 - 64;4AR;Titolare di assegno di ricerca;104
2024;>= 65;4AR;Titolare di assegno di ricerca;50
