ANNO_ACCADEMICO;REGIONE_ISTITUTO;TIPO_ISTITUTO;Area_Istituto;PROVENIENZA_STUDENTE;ISCR_ITALIANI;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LIGURIA;1;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;1;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;2;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;1;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;3;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;2026;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;1;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;2;;
2022-2023;PUGLIA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;1;;
2022-2023;SARDEGNA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;493;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;1;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;1;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;2;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;2;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;1;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;2;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;568;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;2;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;1;;
2022-2023;SARDEGNA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;2;;
2022-2023;SARDEGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;1;;
2022-2023;SARDEGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SARDEGNA;135;;
2022-2023;SARDEGNA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;BASILICATA;2;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;16;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;EMILIA ROMAGNA;2;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;FRIULI VENEZIA GIULIA;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;LAZIO;4;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;LIGURIA;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;11;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;MOLISE;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;PIEMONTE;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;PUGLIA;2;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;Residenti all'Estero;69;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;8;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;SICILIA;3328;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;UMBRIA;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;VALLE D'AOSTA;1;;
2022-2023;SICILIA;Accademia di Belle Arti statale;Area Artistica;VENETO;3;;
2022-2023;SICILIA;Accademia Legalmente Riconosciuta;Area Artistica;LOMBARDIA;1;;
2022-2023;SICILIA;Accademia Legalmente Riconosciuta;Area Artistica;SICILIA;50;;
2022-2023;SICILIA;Accademia Legalmente Riconosciuta;Area Artistica;TOSCANA;2;;
2022-2023;SICILIA;Accademia Legalmente Riconosciuta;Area Artistica;TRENTINO-ALTO ADIGE;1;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;1;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;17;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;30;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;2;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;2;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;21;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;6;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;1;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;5;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;1;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;2455;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;7;;
2022-2023;SICILIA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;9;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;8;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CAMPANIA;2;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LAZIO;8;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;8;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PIEMONTE;3;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;3;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SARDEGNA;1;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;156;;
2022-2023;SICILIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VENETO;4;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;17;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;BASILICATA;20;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;45;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;34;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;EMILIA ROMAGNA;85;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;FRIULI VENEZIA GIULIA;11;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;LAZIO;33;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;LIGURIA;175;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;74;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;MARCHE;32;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;MOLISE;10;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;PIEMONTE;34;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;PUGLIA;51;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;Residenti all'Estero;10;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;SARDEGNA;55;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;SICILIA;80;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;1201;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;TRENTINO-ALTO ADIGE;13;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;UMBRIA;26;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;VALLE D'AOSTA;5;;
2022-2023;TOSCANA;Accademia di Belle Arti statale;Area Artistica;VENETO;38;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;6;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;4;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;11;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;9;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;20;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;4;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;18;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;LIGURIA;13;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;13;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;14;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;MOLISE;2;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;4;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;7;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;58;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;SARDEGNA;9;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;41;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;748;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;2;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;10;;
2022-2023;TOSCANA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;18;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;ABRUZZO;2;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;BASILICATA;1;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;CALABRIA;3;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;CAMPANIA;6;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;EMILIA ROMAGNA;7;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;FRIULI VENEZIA GIULIA;3;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;LAZIO;5;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;LIGURIA;3;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;LOMBARDIA;4;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;MARCHE;3;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;PIEMONTE;2;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;PUGLIA;2;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;SARDEGNA;1;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;SICILIA;5;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;TOSCANA;95;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;TRENTINO-ALTO ADIGE;4;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;UMBRIA;6;;
2022-2023;TOSCANA;Istituto superiore per le Industrie Artistiche;Area Artistica;VENETO;8;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;ABRUZZO;1;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;ABRUZZO;14;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;BASILICATA;18;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;BASILICATA;2;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;16;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;CALABRIA;6;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CAMPANIA;32;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;CAMPANIA;12;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;EMILIA ROMAGNA;83;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;EMILIA ROMAGNA;10;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;3;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;FRIULI VENEZIA GIULIA;25;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;LAZIO;22;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LAZIO;23;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LIGURIA;28;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;LIGURIA;3;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;21;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;LOMBARDIA;14;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MARCHE;27;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;MARCHE;6;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MOLISE;13;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PIEMONTE;20;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;PIEMONTE;4;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;36;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;PUGLIA;8;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;Residenti all'Estero;7;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SARDEGNA;16;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;SARDEGNA;3;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;SICILIA;6;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;33;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;TOSCANA;178;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TOSCANA;959;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TRENTINO-ALTO ADIGE;13;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;3;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;UMBRIA;25;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;UMBRIA;3;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VALLE D'AOSTA;8;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Musicale/Coreutica;VENETO;9;;
2022-2023;TOSCANA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VENETO;32;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;1;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;BASILICATA;1;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;11;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;1;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;8;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;6;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;6;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;LOMBARDIA;29;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;6;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;10;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;5;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;7;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;2;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;342;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;1;;
2022-2023;TRENTINO-ALTO ADIGE;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;38;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;ABRUZZO;1;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;CALABRIA;1;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;EMILIA ROMAGNA;2;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;FRIULI VENEZIA GIULIA;2;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LOMBARDIA;5;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;PUGLIA;1;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;1;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TRENTINO-ALTO ADIGE;31;;
2022-2023;TRENTINO-ALTO ADIGE;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;VENETO;8;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;4;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;BASILICATA;2;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;CALABRIA;8;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;8;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;LAZIO;13;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;MARCHE;9;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;MOLISE;1;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;PUGLIA;6;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;SICILIA;3;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;TOSCANA;29;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;UMBRIA;170;;
2022-2023;UMBRIA;Accademia di Belle Arti statale;Area Artistica;VENETO;1;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;ABRUZZO;4;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CALABRIA;4;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;CAMPANIA;4;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;EMILIA ROMAGNA;2;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;FRIULI VENEZIA GIULIA;2;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;LAZIO;95;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;MARCHE;18;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PIEMONTE;4;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;PUGLIA;1;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;Residenti all'Estero;1;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;SICILIA;6;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TOSCANA;29;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;TRENTINO-ALTO ADIGE;1;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;UMBRIA;269;;
2022-2023;UMBRIA;Conservatorio di Musica statale;Area Musicale/Coreutica;VENETO;4;;
2022-2023;UMBRIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;LAZIO;2;;
2022-2023;UMBRIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;MARCHE;1;;
2022-2023;UMBRIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SARDEGNA;1;;
2022-2023;UMBRIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;SICILIA;2;;
2022-2023;UMBRIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;TOSCANA;1;;
2022-2023;UMBRIA;Istituzione autorizzata a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Area Artistica;UMBRIA;16;;
2022-2023;VALLE D'AOSTA;Istituto Musicale Pareggiato;Area Musicale/Coreutica;BASILICATA;1;;
2022-2023;VALLE D'AOSTA;Istituto Musicale Pareggiato;Area Musicale/Coreutica;LIGURIA;1;;
2022-2023;VALLE D'AOSTA;Istituto Musicale Pareggiato;Area Musicale/Coreutica;LOMBARDIA;2;;
2022-2023;VALLE D'AOSTA;Istituto Musicale Pareggiato;Area Musicale/Coreutica;PIEMONTE;19;;
2022-2023;VALLE D'AOSTA;Istituto Musicale Pareggiato;Area Musicale/Coreutica;PUGLIA;1;;
2022-2023;VALLE D'AOSTA;Istituto Musicale Pareggiato;Area Musicale/Coreutica;SICILIA;1;;
2022-2023;VALLE D'AOSTA;Istituto Musicale Pareggiato;Area Musicale/Coreutica;VALLE D'AOSTA;53;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;ABRUZZO;9;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;CALABRIA;4;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;CAMPANIA;9;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;EMILIA ROMAGNA;74;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;FRIULI VENEZIA GIULIA;125;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;LAZIO;15;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;LIGURIA;15;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;LOMBARDIA;164;;
2022-2023;VENETO;Accademia di Belle Arti statale;Area Artistica;MARCHE;18;;
