ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;CODICE_CLASSE;DESCRIZIONE_CLASSE;CONTRIBUZIONE_LAUREA;CONTRIBUZIONE_DOTTORATO;CONTRIBUZIONE_SPECIALIZZAZIONE;CONTRIBUZIONE_MASTER
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;11d;da 1.300,01 a 1.400,00;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;11e;da 1.400,01 a 1.500,00;0;0;0;5
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;12a;da 1.500,01 a 1.600,00;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;12b;da 1.600,01 a 1.700,00;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;12c;da 1.700,01 a 1.800,00;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;12d;da 1.800,01 a 1.900,00;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;12e;da 1.900,01 a 2.000,00;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;13 ;da 2.000,01 a 2.500,00;5;0;0;1
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;14 ;da 2.500,01 a 3.000,00;6;0;0;33
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;15 ;da 3.000,01 a 3.500,00;44;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;16 ;da 3.500,01 a 4.000,00;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;17 ;da 4.000,01 a 4.500,00;20;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;18 ;da 4.500,01 a 5.000,00;80;0;0;16
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;19 ;da 5.000,01 a 6.000,00;166;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;20 ;da 6.000,01 a 8.000,00;728;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;05809;Roma - Università degli Studi Internazionali – UNINT;21b;oltre 10.000,00;0;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";00 ;contribuzione non prevista (esclusi esoneri);0;14;3;1001
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";00a;contribuzione finanziata da enti esterni;20;1;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";01 ;da 0,01 a 100,00 (esclusi esoneri);3;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";02 ;da 100,01 a 200,00;29;0;0;1
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";03 ;da 200,01 a 300,00;47;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";04 ;da 300,01 a 400,00;62;0;0;4
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";05 ;da 400,01 a 500,00;63;0;0;150
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";06 ;da 500,01 a 600,00;5;0;0;4
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";07 ;da 600,01 a 700,00;107;0;0;1
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";08 ;da 700,01 a 800,00;82;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";09 ;da 800,01 a 900,00;100;0;0;2
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";10 ;da 900,01 a 1.000,00;48;0;0;13
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";11a;da 1.000,01 a 1.100,00;95;0;0;1
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";11b;da 1.100,01 a 1.200,00;87;0;0;143
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";11c;da 1.200,01 a 1.300,00;34;0;0;6
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";11d;da 1.300,01 a 1.400,00;448;0;0;2
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";11e;da 1.400,01 a 1.500,00;4260;0;0;39
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";12a;da 1.500,01 a 1.600,00;523;0;0;2
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";12b;da 1.600,01 a 1.700,00;72;0;0;57
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";12c;da 1.700,01 a 1.800,00;889;0;0;315
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";12d;da 1.800,01 a 1.900,00;214;0;0;9
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";12e;da 1.900,01 a 2.000,00;415;0;24;9
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";13 ;da 2.000,01 a 2.500,00;3963;0;33;110
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";14 ;da 2.500,01 a 3.000,00;2568;0;0;30
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";15 ;da 3.000,01 a 3.500,00;330;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";16 ;da 3.500,01 a 4.000,00;16;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";17 ;da 4.000,01 a 4.500,00;19;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";18 ;da 4.500,01 a 5.000,00;5;17;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";19 ;da 5.000,01 a 6.000,00;76;11;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;05810;"Roma - Università telematica ""Guglielmo Marconi""";21b;oltre 10.000,00;0;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";00a;contribuzione finanziata da enti esterni;0;0;0;18
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";01 ;da 0,01 a 100,00 (esclusi esoneri);0;0;0;1
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";02 ;da 100,01 a 200,00;229;0;0;178
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";03 ;da 200,01 a 300,00;1;0;0;8
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";04 ;da 300,01 a 400,00;20;0;0;49
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";05 ;da 400,01 a 500,00;0;0;0;13
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";06 ;da 500,01 a 600,00;2;0;0;1005
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";07 ;da 600,01 a 700,00;178;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";08 ;da 700,01 a 800,00;2;0;0;56
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";09 ;da 800,01 a 900,00;1898;0;0;625
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";10 ;da 900,01 a 1.000,00;585;0;0;522
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";11a;da 1.000,01 a 1.100,00;8;0;0;10
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";11b;da 1.100,01 a 1.200,00;6;0;0;89
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";11c;da 1.200,01 a 1.300,00;7;0;0;279
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";11d;da 1.300,01 a 1.400,00;1;0;0;167
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";11e;da 1.400,01 a 1.500,00;1;0;0;33
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";12a;da 1.500,01 a 1.600,00;897;0;0;457
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";12b;da 1.600,01 a 1.700,00;12;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";12c;da 1.700,01 a 1.800,00;638;0;0;23
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";12d;da 1.800,01 a 1.900,00;3;0;0;4
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";12e;da 1.900,01 a 2.000,00;3;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";13 ;da 2.000,01 a 2.500,00;468;0;0;62
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";14 ;da 2.500,01 a 3.000,00;0;0;0;87
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";15 ;da 3.000,01 a 3.500,00;6;0;0;4
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";16 ;da 3.500,01 a 4.000,00;5;0;0;10
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";17 ;da 4.000,01 a 4.500,00;0;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";18 ;da 4.500,01 a 5.000,00;2;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";19 ;da 5.000,01 a 6.000,00;0;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";20 ;da 6.000,01 a 8.000,00;0;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;05811;"Roma - Università telematica ""Unitelma Sapienza""";21b;oltre 10.000,00;0;0;0;0
2023-2024;05812;Roma - Università Europea;00 ;contribuzione non prevista (esclusi esoneri);0;3;0;4
2023-2024;05812;Roma - Università Europea;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;05812;Roma - Università Europea;01 ;da 0,01 a 100,00 (esclusi esoneri);53;0;0;0
2023-2024;05812;Roma - Università Europea;02 ;da 100,01 a 200,00;1;0;0;0
2023-2024;05812;Roma - Università Europea;03 ;da 200,01 a 300,00;1;0;0;0
2023-2024;05812;Roma - Università Europea;04 ;da 300,01 a 400,00;0;0;0;2
2023-2024;05812;Roma - Università Europea;05 ;da 400,01 a 500,00;0;0;0;0
2023-2024;05812;Roma - Università Europea;06 ;da 500,01 a 600,00;0;0;0;0
2023-2024;05812;Roma - Università Europea;07 ;da 600,01 a 700,00;0;3;0;7
2023-2024;05812;Roma - Università Europea;08 ;da 700,01 a 800,00;0;0;0;9
2023-2024;05812;Roma - Università Europea;09 ;da 800,01 a 900,00;56;0;0;0
2023-2024;05812;Roma - Università Europea;10 ;da 900,01 a 1.000,00;4;0;0;0
2023-2024;05812;Roma - Università Europea;11a;da 1.000,01 a 1.100,00;0;0;0;0
2023-2024;05812;Roma - Università Europea;11b;da 1.100,01 a 1.200,00;0;0;0;0
2023-2024;05812;Roma - Università Europea;11c;da 1.200,01 a 1.300,00;0;0;0;14
2023-2024;05812;Roma - Università Europea;11d;da 1.300,01 a 1.400,00;0;0;0;18
2023-2024;05812;Roma - Università Europea;11e;da 1.400,01 a 1.500,00;0;0;0;1
2023-2024;05812;Roma - Università Europea;12a;da 1.500,01 a 1.600,00;23;0;0;0
2023-2024;05812;Roma - Università Europea;12b;da 1.600,01 a 1.700,00;1;0;0;0
2023-2024;05812;Roma - Università Europea;12c;da 1.700,01 a 1.800,00;0;0;0;0
2023-2024;05812;Roma - Università Europea;12d;da 1.800,01 a 1.900,00;0;0;0;6
2023-2024;05812;Roma - Università Europea;12e;da 1.900,01 a 2.000,00;1;0;0;5
2023-2024;05812;Roma - Università Europea;13 ;da 2.000,01 a 2.500,00;83;0;0;17
2023-2024;05812;Roma - Università Europea;14 ;da 2.500,01 a 3.000,00;16;0;0;10
2023-2024;05812;Roma - Università Europea;15 ;da 3.000,01 a 3.500,00;10;0;0;24
2023-2024;05812;Roma - Università Europea;16 ;da 3.500,01 a 4.000,00;785;0;0;0
2023-2024;05812;Roma - Università Europea;17 ;da 4.000,01 a 4.500,00;16;0;0;41
2023-2024;05812;Roma - Università Europea;18 ;da 4.500,01 a 5.000,00;8;0;0;4
2023-2024;05812;Roma - Università Europea;19 ;da 5.000,01 a 6.000,00;158;0;0;1
2023-2024;05812;Roma - Università Europea;20 ;da 6.000,01 a 8.000,00;991;0;0;0
2023-2024;05812;Roma - Università Europea;21a;da 8.000,01 a 10.000,00;6;0;0;0
2023-2024;05812;Roma - Università Europea;21b;oltre 10.000,00;0;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";00 ;contribuzione non prevista (esclusi esoneri);0;0;0;2
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";00a;contribuzione finanziata da enti esterni;2744;1;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";01 ;da 0,01 a 100,00 (esclusi esoneri);123;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";02 ;da 100,01 a 200,00;1;0;0;1
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";03 ;da 200,01 a 300,00;7;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";04 ;da 300,01 a 400,00;3;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";05 ;da 400,01 a 500,00;29;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";06 ;da 500,01 a 600,00;40;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";07 ;da 600,01 a 700,00;10;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";08 ;da 700,01 a 800,00;75;0;0;480
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";09 ;da 800,01 a 900,00;59;0;0;140
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";10 ;da 900,01 a 1.000,00;13;0;0;320
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";11a;da 1.000,01 a 1.100,00;346;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";11b;da 1.100,01 a 1.200,00;60;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";11c;da 1.200,01 a 1.300,00;194;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";11d;da 1.300,01 a 1.400,00;56;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";11e;da 1.400,01 a 1.500,00;168;0;0;12
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";12a;da 1.500,01 a 1.600,00;1323;0;0;1
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";12b;da 1.600,01 a 1.700,00;1378;0;0;1
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";12c;da 1.700,01 a 1.800,00;274;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";12d;da 1.800,01 a 1.900,00;383;0;0;7
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";12e;da 1.900,01 a 2.000,00;210;0;0;2
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";13 ;da 2.000,01 a 2.500,00;2082;0;0;7
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";14 ;da 2.500,01 a 3.000,00;35;0;0;11
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";15 ;da 3.000,01 a 3.500,00;0;19;0;2
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";16 ;da 3.500,01 a 4.000,00;1;0;0;2
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";17 ;da 4.000,01 a 4.500,00;0;0;0;1
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";19 ;da 5.000,01 a 6.000,00;0;0;0;1
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";20 ;da 6.000,01 a 8.000,00;0;0;0;6
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";21b;oltre 10.000,00;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;00 ;contribuzione non prevista (esclusi esoneri);0;1;0;55
2023-2024;05814;Roma - Universitas telematica Mercatorum;00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;01 ;da 0,01 a 100,00 (esclusi esoneri);2;0;0;1
2023-2024;05814;Roma - Universitas telematica Mercatorum;02 ;da 100,01 a 200,00;2;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;03 ;da 200,01 a 300,00;144;0;0;1
2023-2024;05814;Roma - Universitas telematica Mercatorum;04 ;da 300,01 a 400,00;9;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;05 ;da 400,01 a 500,00;54;0;0;74
2023-2024;05814;Roma - Universitas telematica Mercatorum;06 ;da 500,01 a 600,00;13;0;0;3
2023-2024;05814;Roma - Universitas telematica Mercatorum;07 ;da 600,01 a 700,00;9;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;08 ;da 700,01 a 800,00;86;0;0;11
2023-2024;05814;Roma - Universitas telematica Mercatorum;09 ;da 800,01 a 900,00;199;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;10 ;da 900,01 a 1.000,00;86;0;0;5
2023-2024;05814;Roma - Universitas telematica Mercatorum;11a;da 1.000,01 a 1.100,00;103;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;11b;da 1.100,01 a 1.200,00;436;0;0;61
2023-2024;05814;Roma - Universitas telematica Mercatorum;11c;da 1.200,01 a 1.300,00;535;0;0;67
2023-2024;05814;Roma - Universitas telematica Mercatorum;11d;da 1.300,01 a 1.400,00;162;0;0;118
2023-2024;05814;Roma - Universitas telematica Mercatorum;11e;da 1.400,01 a 1.500,00;3906;0;0;571
2023-2024;05814;Roma - Universitas telematica Mercatorum;12a;da 1.500,01 a 1.600,00;4356;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;12b;da 1.600,01 a 1.700,00;4324;0;0;177
2023-2024;05814;Roma - Universitas telematica Mercatorum;12c;da 1.700,01 a 1.800,00;18530;0;0;11
2023-2024;05814;Roma - Universitas telematica Mercatorum;12d;da 1.800,01 a 1.900,00;3224;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;12e;da 1.900,01 a 2.000,00;1886;0;0;1
2023-2024;05814;Roma - Universitas telematica Mercatorum;13 ;da 2.000,01 a 2.500,00;3725;0;0;1
2023-2024;05814;Roma - Universitas telematica Mercatorum;14 ;da 2.500,01 a 3.000,00;835;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;15 ;da 3.000,01 a 3.500,00;83;0;0;1
2023-2024;05814;Roma - Universitas telematica Mercatorum;16 ;da 3.500,01 a 4.000,00;2;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;17 ;da 4.000,01 a 4.500,00;5;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;18 ;da 4.500,01 a 5.000,00;1;0;0;3
2023-2024;05814;Roma - Universitas telematica Mercatorum;19 ;da 5.000,01 a 6.000,00;2;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;20 ;da 6.000,01 a 8.000,00;1;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;21a;da 8.000,01 a 10.000,00;2;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;21b;oltre 10.000,00;8;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);00 ;contribuzione non prevista (esclusi esoneri);0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);01 ;da 0,01 a 100,00 (esclusi esoneri);0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);02 ;da 100,01 a 200,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);03 ;da 200,01 a 300,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);04 ;da 300,01 a 400,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);05 ;da 400,01 a 500,00;12;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);06 ;da 500,01 a 600,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);07 ;da 600,01 a 700,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);08 ;da 700,01 a 800,00;1;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);09 ;da 800,01 a 900,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);10 ;da 900,01 a 1.000,00;9;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);11a;da 1.000,01 a 1.100,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);11b;da 1.100,01 a 1.200,00;4;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);11c;da 1.200,01 a 1.300,00;8;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);11d;da 1.300,01 a 1.400,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);11e;da 1.400,01 a 1.500,00;1350;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);12a;da 1.500,01 a 1.600,00;8;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);12b;da 1.600,01 a 1.700,00;9;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);12c;da 1.700,01 a 1.800,00;26;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);12d;da 1.800,01 a 1.900,00;20;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);12e;da 1.900,01 a 2.000,00;277;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);13 ;da 2.000,01 a 2.500,00;623;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);14 ;da 2.500,01 a 3.000,00;9265;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);15 ;da 3.000,01 a 3.500,00;721;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);16 ;da 3.500,01 a 4.000,00;5050;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);17 ;da 4.000,01 a 4.500,00;60;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);19 ;da 5.000,01 a 6.000,00;15;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);20 ;da 6.000,01 a 8.000,00;15;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);21a;da 8.000,01 a 10.000,00;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);21b;oltre 10.000,00;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";00 ;contribuzione non prevista (esclusi esoneri);0;0;0;30
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";00a;contribuzione finanziata da enti esterni;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";01 ;da 0,01 a 100,00 (esclusi esoneri);0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";02 ;da 100,01 a 200,00;1;0;0;41
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";03 ;da 200,01 a 300,00;23;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";04 ;da 300,01 a 400,00;11;0;0;115
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";05 ;da 400,01 a 500,00;8;0;0;691
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";06 ;da 500,01 a 600,00;16;0;0;74
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";07 ;da 600,01 a 700,00;12;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";08 ;da 700,01 a 800,00;20;0;0;170
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";09 ;da 800,01 a 900,00;11;0;0;47
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";10 ;da 900,01 a 1.000,00;52;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";11a;da 1.000,01 a 1.100,00;17;0;0;2
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";11b;da 1.100,01 a 1.200,00;26;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";11c;da 1.200,01 a 1.300,00;81;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";11d;da 1.300,01 a 1.400,00;121;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";11e;da 1.400,01 a 1.500,00;97;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";12a;da 1.500,01 a 1.600,00;485;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";12b;da 1.600,01 a 1.700,00;82;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";12c;da 1.700,01 a 1.800,00;205;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";12d;da 1.800,01 a 1.900,00;264;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";12e;da 1.900,01 a 2.000,00;2767;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";13 ;da 2.000,01 a 2.500,00;6609;0;0;6
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";14 ;da 2.500,01 a 3.000,00;52;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";15 ;da 3.000,01 a 3.500,00;21;0;0;8
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";16 ;da 3.500,01 a 4.000,00;7;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";17 ;da 4.000,01 a 4.500,00;1;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";18 ;da 4.500,01 a 5.000,00;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";19 ;da 5.000,01 a 6.000,00;1;0;0;0
