ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ESONERO_TOTALE;DESCRIZIONE_ESONERO_TOTALE;ESONERO_TOTALE_LAUREA;ESONERO_TOTALE_DOTTORATO;ESONERO_TOTALE_SPECIALIZZAZIONE;ESONERO_TOTALE_MASTER
2023-2024;03801;Ferrara - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;2839;;;
2023-2024;03801;Ferrara - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03801;Ferrara - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);4371;;;
2023-2024;03801;Ferrara - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;N
2023-2024;03801;Ferrara - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;03801;Ferrara - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;29;;
2023-2024;03801;Ferrara - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;239;;;
2023-2024;03801;Ferrara - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;03801;Ferrara - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1738;;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);119;0;0;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);193;0;0;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";15 ;Altre tipologie non comprese nelle precedenti voci;50;0;0;36
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1581;;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);2343;;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;154;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;25;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;130;;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04101;"Urbino - Università degli studi ""Carlo Bo""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);627;;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);687;0;0;
2023-2024;04201;Ancona - Università Politecnica delle Marche;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04201;Ancona - Università Politecnica delle Marche;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);188;N;N;
2023-2024;04201;Ancona - Università Politecnica delle Marche;15 ;Altre tipologie non comprese nelle precedenti voci;611;0;0;0
2023-2024;04201;Ancona - Università Politecnica delle Marche;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;917;;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);2224;;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04201;Ancona - Università Politecnica delle Marche;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;289;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;75;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;1;;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04201;Ancona - Università Politecnica delle Marche;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);386;;;
2023-2024;04301;Macerata - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);72;0;0;
2023-2024;04301;Macerata - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04301;Macerata - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);158;N;N;
2023-2024;04301;Macerata - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;146;3;0;12
2023-2024;04301;Macerata - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1023;;;
2023-2024;04301;Macerata - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04301;Macerata - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);1496;;;
2023-2024;04301;Macerata - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04301;Macerata - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;04301;Macerata - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;8;;
2023-2024;04301;Macerata - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;63;;;
2023-2024;04301;Macerata - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04301;Macerata - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);167;;;
2023-2024;04302;Camerino - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);96;1;0;
2023-2024;04302;Camerino - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04302;Camerino - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);84;0;0;
2023-2024;04302;Camerino - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;481;50;1;60
2023-2024;04302;Camerino - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;621;;;
2023-2024;04302;Camerino - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04302;Camerino - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);693;;;
2023-2024;04302;Camerino - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);26;0;0;0
2023-2024;04302;Camerino - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;271;;
2023-2024;04302;Camerino - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;04302;Camerino - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;50;;;
2023-2024;04302;Camerino - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04302;Camerino - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);218;;;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;04601;Lucca - Scuola IMT Alti Studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04601;Lucca - Scuola IMT Alti Studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;212;;
2023-2024;04601;Lucca - Scuola IMT Alti Studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;38;;
2023-2024;04801;Firenze - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);386;0;7;
2023-2024;04801;Firenze - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04801;Firenze - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);578;0;10;
2023-2024;04801;Firenze - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;819;0;5;14
2023-2024;04801;Firenze - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;4059;;;
2023-2024;04801;Firenze - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04801;Firenze - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);8547;;;
2023-2024;04801;Firenze - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04801;Firenze - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;976;;
2023-2024;04801;Firenze - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;183;;
2023-2024;04801;Firenze - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;243;;;
2023-2024;04801;Firenze - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;04801;Firenze - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1070;;;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";15 ;Altre tipologie non comprese nelle precedenti voci;83;0;0;0
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;04804;"Firenze - Università telematica ""Italian University line""";21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;05001;Pisa - Università;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);406;4;15;
2023-2024;05001;Pisa - Università;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05001;Pisa - Università;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);897;3;5;
2023-2024;05001;Pisa - Università;15 ;Altre tipologie non comprese nelle precedenti voci;5815;34;43;57
2023-2024;05001;Pisa - Università;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;3785;;;
2023-2024;05001;Pisa - Università;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05001;Pisa - Università;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);4046;;;
2023-2024;05001;Pisa - Università;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);101;0;0;0
2023-2024;05001;Pisa - Università;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;908;;
2023-2024;05001;Pisa - Università;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;206;;
2023-2024;05001;Pisa - Università;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;385;;;
2023-2024;05001;Pisa - Università;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05001;Pisa - Università;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1982;;;
2023-2024;05002;Pisa - Scuola normale superiore;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05002;Pisa - Scuola normale superiore;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05002;Pisa - Scuola normale superiore;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05002;Pisa - Scuola normale superiore;15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;0
2023-2024;05002;Pisa - Scuola normale superiore;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05002;Pisa - Scuola normale superiore;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;353;;
2023-2024;05002;Pisa - Scuola normale superiore;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";15 ;Altre tipologie non comprese nelle precedenti voci;0;0;0;20
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;369;;
2023-2024;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;05201;Siena - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);408;0;10;
2023-2024;05201;Siena - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05201;Siena - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);79;0;3;
2023-2024;05201;Siena - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;19;5;0;6
2023-2024;05201;Siena - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;1415;;;
2023-2024;05201;Siena - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05201;Siena - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);2236;;;
2023-2024;05201;Siena - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);138;N;N;0
2023-2024;05201;Siena - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;05201;Siena - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;95;;
2023-2024;05201;Siena - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;156;;;
2023-2024;05201;Siena - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05201;Siena - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);11;;;
2023-2024;05202;Siena - Università per stranieri;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);77;0;2;
2023-2024;05202;Siena - Università per stranieri;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05202;Siena - Università per stranieri;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);15;0;0;
2023-2024;05202;Siena - Università per stranieri;15 ;Altre tipologie non comprese nelle precedenti voci;15;0;0;0
2023-2024;05202;Siena - Università per stranieri;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;257;;;
2023-2024;05202;Siena - Università per stranieri;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05202;Siena - Università per stranieri;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);258;;;
2023-2024;05202;Siena - Università per stranieri;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);26;0;0;0
2023-2024;05202;Siena - Università per stranieri;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;6;;
2023-2024;05202;Siena - Università per stranieri;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;6;;
2023-2024;05202;Siena - Università per stranieri;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;19;;;
2023-2024;05202;Siena - Università per stranieri;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05202;Siena - Università per stranieri;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);0;;;
2023-2024;05401;Perugia - Università degli studi;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);1485;0;3;
2023-2024;05401;Perugia - Università degli studi;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05401;Perugia - Università degli studi;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);568;0;4;
2023-2024;05401;Perugia - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;291;0;0;11
2023-2024;05401;Perugia - Università degli studi;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;2776;;;
2023-2024;05401;Perugia - Università degli studi;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05401;Perugia - Università degli studi;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);4637;;;
2023-2024;05401;Perugia - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05401;Perugia - Università degli studi;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;549;;
2023-2024;05401;Perugia - Università degli studi;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;05401;Perugia - Università degli studi;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;361;;;
2023-2024;05401;Perugia - Università degli studi;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05401;Perugia - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);9;;;
2023-2024;05403;Perugia - Università per stranieri;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);106;0;0;
2023-2024;05403;Perugia - Università per stranieri;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05403;Perugia - Università per stranieri;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);26;0;0;
2023-2024;05403;Perugia - Università per stranieri;15 ;Altre tipologie non comprese nelle precedenti voci;37;0;0;0
2023-2024;05403;Perugia - Università per stranieri;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;73;;;
2023-2024;05403;Perugia - Università per stranieri;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05403;Perugia - Università per stranieri;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);240;;;
2023-2024;05403;Perugia - Università per stranieri;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05403;Perugia - Università per stranieri;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;05403;Perugia - Università per stranieri;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;05403;Perugia - Università per stranieri;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;6;;;
2023-2024;05403;Perugia - Università per stranieri;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05403;Perugia - Università per stranieri;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);5;;;
2023-2024;05601;Viterbo - Università della Tuscia;01 ;Beneficiari borse studio (d.lgs. 68/12 art. 9, c. 2);179;0;0;
2023-2024;05601;Viterbo - Università della Tuscia;02 ;Idonei non beneficiari borse di studio (d.lgs. 68/12 art. 9, c. 2);0;0;0;
2023-2024;05601;Viterbo - Università della Tuscia;03 ;Studenti in situazione di disabilità con invalidità oltre il 66% (d.lgs. 68/12 art. 9, c. 2);154;N;0;
2023-2024;05601;Viterbo - Università della Tuscia;15 ;Altre tipologie non comprese nelle precedenti voci;337;279;0;95
2023-2024;05601;Viterbo - Università della Tuscia;16 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Beneficiari di borsa di studio d.lgs. 68/12;297;;;
2023-2024;05601;Viterbo - Università della Tuscia;17 ;Studenti con compresenza di requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05601;Viterbo - Università della Tuscia;18 ;Studenti con requisiti per NO TAX AREA (L. 232/2016, c. 255 e 256 e aggiornamenti successivi);1598;;;
2023-2024;05601;Viterbo - Università della Tuscia;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;05601;Viterbo - Università della Tuscia;20 ;Dottorando titolare di borsa di studio di dottorato di ricerca;;0;;
2023-2024;05601;Viterbo - Università della Tuscia;21 ;Dottorando non beneficiario di borsa (L. 232/2016, c. 262);;0;;
2023-2024;05601;Viterbo - Università della Tuscia;22 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Beneficiari di borsa di studio d.lgs. 68/12;24;;;
2023-2024;05601;Viterbo - Università della Tuscia;23 ;Studenti con compresenza di requisiti per ulteriore agevolazione tasse (normativa vigente) e Idoneità per borsa di studio d.lgs. 68/12;0;;;
2023-2024;05601;Viterbo - Università della Tuscia;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);261;;;
