ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER
2023-2024;05814;Roma - Universitas telematica Mercatorum;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;05814;Roma - Universitas telematica Mercatorum;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;37;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2023-2024;05814;Roma - Universitas telematica Mercatorum;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;6;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;15;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2023-2024;05815;Roma - Università telematica Niccolò Cusano (già UNISU);116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;11;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2023-2024;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2023-2024;05817;Roma - Link Campus University;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;05817;Roma - Link Campus University;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);31;6;0;0;0
2023-2024;05817;Roma - Link Campus University;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;N;0;0;0;0
2023-2024;05817;Roma - Link Campus University;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;05817;Roma - Link Campus University;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;05817;Roma - Link Campus University;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;05817;Roma - Link Campus University;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;3,5;0;0
2023-2024;05817;Roma - Link Campus University;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;05817;Roma - Link Campus University;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;9,5;0;0
2023-2024;05817;Roma - Link Campus University;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;21
2023-2024;05817;Roma - Link Campus University;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;3;0;0
2023-2024;05818;Roma - Saint Camillus International;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);26;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;8;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;05818;Roma - Saint Camillus International;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;05818;Roma - Saint Camillus International;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;05818;Roma - Saint Camillus International;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2023-2024;05818;Roma - Saint Camillus International;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2023-2024;05818;Roma - Saint Camillus International;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;05818;Roma - Saint Camillus International;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2023-2024;05818;Roma - Saint Camillus International;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2023-2024;05818;Roma - Saint Camillus International;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);0;0;7;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;0;0;1;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;7;;
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;092c  ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati - di cui assegnati in strutture convenzionate o private;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;101a  ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati - di cui con contributo in conto interesse e/o in conto capitale a carico dell'Ateneo;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;12;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2023-2024;05819;Roma - CASD - Centro Alti Studi per la Difesa;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;158;5;0;0;0
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);182;104;31;0;0
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;0;0;1;0;0
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;1;0;5;0;0
2023-2024;06001;Cassino - Università degli Studi di Cassino e del Lazio Meridionale;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;30;;
