AnnoA;AteneoNOME;CorsoTIPO;ClasseNUMERO;ClasseNOME;SESSO;Isc
2016/2017;Cagliari;Laurea - dm 270/04;L-17;Scienze dell'architettura;M;35
2016/2017;Cagliari;Laurea Magistrale - dm 270/04;LM/SNT2;Scienze riabilitative delle professioni sanitarie;F;35
2016/2017;Catania;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;M;35
2016/2017;Catanzaro;Laurea - dm 270/04;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;35
2016/2017;Camerino;Laurea Magistrale - dm 270/04;LM-18;Informatica;M;35
2016/2017;Calabria;Laurea - dm 270/04;L-10;Lettere;M;35
2016/2017;Padova;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;35
2016/2017;Padova;Laurea Magistrale - dm 270/04;LM-39;Linguistica;F;35
2016/2017;Palermo;Laurea - dm 270/04;L-27;Scienze e tecnologie chimiche;M;35
2016/2017;Pavia;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;F;35
2016/2017;Pavia;Laurea - dm 270/04;L-1;Beni culturali;M;35
2016/2017;Parma;Laurea Magistrale - dm 270/04;LM-27;Ingegneria delle telecomunicazioni;M;35
2016/2017;Perugia;Laurea Magistrale - dm 270/04;LM-6;Biologia;F;35
2016/2017;Pisa;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;F;35
2016/2017;Pisa;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;M;35
2016/2017;Pisa;Laurea - dm 270/04;L-42;Storia;F;35
2016/2017;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-28;Ingegneria elettrica;M;35
2016/2017;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;M;35
2016/2017;Napoli Vanvitelli;Laurea - dm 270/04;L-35;Scienze matematiche;F;35
2016/2017;Napoli Vanvitelli;Laurea - dm 270/04;L-9;Ingegneria industriale;F;35
2016/2017;Milano Bicocca;Laurea Magistrale - dm 270/04;LM-76;Scienze economiche per l'ambiente e la cultura;F;35
2016/2017;Modena e Reggio Emilia;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;M;35
2016/2017;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;F;35
2016/2017;Milano IULM;Laurea - dm 270/04;L-12;Mediazione linguistica;M;35
2016/2017;Teramo;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;35
2016/2017;Torino;Laurea Magistrale - dm 270/04;LM-6;Biologia;M;35
2016/2017;Torino;Laurea Magistrale - dm 270/04;LM-88;Sociologia e ricerca sociale;F;35
2016/2017;Tuscia;Laurea - dm 270/04;L-2;Biotecnologie;M;35
2016/2017;Tuscia;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;35
2016/2017;Trieste;Laurea - dm 270/04;L-30;Scienze e tecnologie fisiche;F;35
2016/2017;Udine;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;F;35
2016/2017;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM/SNT2;Scienze riabilitative delle professioni sanitarie;F;35
2016/2017;Roma Tre;Laurea - dm 270/04;L-13;Scienze biologiche;M;35
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;F;35
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;M;35
2016/2017;Sannio;Laurea - dm 270/04;L-2;Biotecnologie;M;35
2016/2017;Salerno;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;M;35
2016/2017;Siena;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;F;35
2016/2017;Roma UNITELMA - telematica;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;F;35
2016/2017;Roma UNITELMA - telematica;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;F;35
2016/2017;Roma Tre;Laurea Magistrale - dm 270/04;LM-65;Scienze dello spettacolo e produzione multimediale;M;35
2016/2017;Roma Tre;Laurea Magistrale - dm 270/04;LM-85;Scienze pedagogiche;F;35
2016/2017;Salerno;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;F;35
2016/2017;Salento;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;F;34
2016/2017;Rozzano (MI) Humanitas University;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;34
2016/2017;Siena;Laurea - dm 270/04;L-13;Scienze biologiche;M;34
2016/2017;Sassari;Laurea Magistrale - dm 270/04;LM/SNT1;Scienze infermieristiche e ostetriche;F;34
2016/2017;Salerno;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;34
2016/2017;Sannio;Laurea - dm 270/04;L-7;Ingegneria civile e ambientale;M;34
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-49;Progettazione e gestione dei sistemi turistici;F;34
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;M;34
2016/2017;Roma Marconi - telematica;Laurea - dm 270/04;L-7;Ingegneria civile e ambientale;M;34
2016/2017;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;F;34
2016/2017;Udine;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;M;34
2016/2017;Udine;Laurea - dm 270/04;L-10;Lettere;M;34
2016/2017;Udine;Laurea - dm 270/04;L-17;Scienze dell'architettura;F;34
2016/2017;Tuscia;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;F;34
2016/2017;Udine;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;M;34
2016/2017;Trieste;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;F;34
2016/2017;Trieste;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-13;Farmacia e farmacia industriale;M;34
2016/2017;Trento;Laurea Magistrale - dm 270/04;LM-87;Servizio sociale e politiche sociali;F;34
2016/2017;Torino;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;M;34
2016/2017;Teramo;Laurea - dm 270/04;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;34
2016/2017;Modena e Reggio Emilia;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;M;34
2016/2017;Milano Bicocca;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;F;34
2016/2017;Milano;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-46;Odontoiatria e protesi dentaria;M;34
2016/2017;Milano;Laurea Magistrale - dm 270/04;LM-71;Scienze e tecnologie della chimica industriale;M;34
2016/2017;Milano;Laurea Magistrale - dm 270/04;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;M;34
2016/2017;Milano;Laurea Magistrale - dm 270/04;LM-15;Filologia, letterature e storia dell'antichità;F;34
2016/2017;Padova;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;F;34
2016/2017;Novedrate e-Campus - telematica;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;M;34
2016/2017;Napoli Vanvitelli;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;M;34
2016/2017;Napoli Vanvitelli;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;F;34
2016/2017;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-86;Scienze zootecniche e tecnologie  animali;F;34
2016/2017;Reggio Calabria;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;F;34
2016/2017;Piemonte Orientale;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;F;34
2016/2017;Pavia;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;F;34
2016/2017;Pavia;Laurea Magistrale - dm 270/04;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;34
2016/2017;Parma;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;M;34
2016/2017;Palermo;Laurea - dm 270/04;L-41;Statistica;M;34
2016/2017;Padova;Laurea Magistrale - dm 270/04;LM-89;Storia dell'arte;F;34
2016/2017;Padova;Laurea Magistrale - dm 270/04;LM-21;Ingegneria biomedica;F;34
2016/2017;Calabria;Laurea - dm 270/04;L-30;Scienze e tecnologie fisiche;F;34
2016/2017;Calabria;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;F;34
2016/2017;Cagliari;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;F;34
2016/2017;Casamassima – LUM G. Degennaro;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;M;34
2016/2017;Catania;Laurea Magistrale - dm 270/04;LM-25;Ingegneria dell'automazione;M;34
2016/2017;Catania;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;M;34
2016/2017;Ca' Foscari Venezia;Laurea - dm 270/04;L-42;Storia;F;34
2016/2017;Bologna;Laurea Magistrale - dm 270/04;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;M;34
2016/2017;Bergamo;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;M;34
2016/2017;Genova;Laurea - dm 270/04;L-35;Scienze matematiche;M;34
2016/2017;Genova;Laurea Magistrale - dm 270/04;LM-21;Ingegneria biomedica;F;34
2016/2017;Genova;Laurea - dm 270/04;L-13;Scienze biologiche;M;34
2016/2017;Foggia;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;34
2016/2017;Foggia;Laurea Magistrale - dm 270/04;LM-50;Programmazione e gestione dei servizi educativi;F;34
2016/2017;Foggia;Laurea - dm 270/04;L-1;Beni culturali;F;34
2016/2017;Firenze;Laurea Magistrale - dm 270/04;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;34
2016/2017;Firenze;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;F;34
2016/2017;Ferrara;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;M;34
2016/2017;Messina;Laurea - dm 270/04;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;34
2016/2017;L'Aquila;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;34
2016/2017;Bari;Laurea - dm 270/04;L-5;Filosofia;F;34
2016/2017;Bari;Laurea Magistrale - dm 270/04;LM-70;Scienze e tecnologie alimentari;F;34
2016/2017;Marche;Laurea Magistrale - dm 270/04;LM-24;Ingegneria dei sistemi edilizi;M;33
2016/2017;Marche;Laurea Magistrale - dm 270/04;LM-21;Ingegneria biomedica;F;33
2016/2017;Marche;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;M;33
2016/2017;Messina;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;33
2016/2017;Firenze;Laurea Magistrale - dm 270/04;LM-16;Finanza;M;33
2016/2017;Bologna;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;M;33
2016/2017;Bologna;Laurea Magistrale - dm 270/04;LM-22;Ingegneria chimica;F;33
2016/2017;Cagliari;Laurea - dm 270/04;L-1;Beni culturali;M;33
2016/2017;Brescia;Laurea Magistrale - dm 270/04;LM-25;Ingegneria dell'automazione;M;33
2016/2017;Chieti e Pescara;Laurea - dm 270/04;L-11;Lingue e culture moderne;M;33
2016/2017;Catania;Laurea - dm 270/04;L-12;Mediazione linguistica;M;33
2016/2017;Camerino;Laurea Magistrale - dm 270/04;LM-4;Architettura e ingegneria edile-architettura;F;33
2016/2017;Camerino;Laurea - dm 270/04;L-17;Scienze dell'architettura;F;33
2016/2017;Padova;Laurea Magistrale - dm 270/04;LM-35;Ingegneria per l'ambiente e il territorio;M;33
2016/2017;Parma;Laurea - dm 270/04;L-13;Scienze biologiche;M;33
2016/2017;Parma;Laurea Magistrale - dm 270/04;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;33
2016/2017;Perugia;Laurea - dm 270/04;L-1;Beni culturali;M;33
2016/2017;Pisa;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;33
2016/2017;Pisa;Laurea Magistrale - dm 270/04;LM-43;Metodologie informatiche per le discipline umanistiche;F;33
2016/2017;Napoli Federico II;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-42;Medicina veterinaria;F;33
2016/2017;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-16;Finanza;M;33
2016/2017;Molise;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;M;33
2016/2017;Napoli Vanvitelli;Laurea - dm 270/04;L-29;Scienze e tecnologie farmaceutiche;F;33
2016/2017;Milano;Laurea Magistrale - dm 270/04;LM-92;Teorie della comunicazione;M;33
2016/2017;Milano Bicocca;Laurea Magistrale - dm 270/04;LM-57;Scienze dell'educazione degli adulti e della formazione continua;M;33
2016/2017;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;33
2016/2017;Teramo;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;F;33
2016/2017;Trento;Laurea Magistrale - dm 270/04;LM-52;Relazioni internazionali;F;33
2016/2017;Trento;Laurea Magistrale - dm 270/04;LM-49;Progettazione e gestione dei sistemi turistici;F;33
2016/2017;Trento;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;F;33
2016/2017;Trento;Laurea - dm 270/04;L-35;Scienze matematiche;F;33
2016/2017;Torino Politecnico;Laurea Magistrale - dm 270/04;LM-20;Ingegneria aerospaziale e astronautica;F;33
2016/2017;Torino Politecnico;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;F;33
2016/2017;Torino Politecnico;Laurea Magistrale - dm 270/04;LM-24;Ingegneria dei sistemi edilizi;F;33
2016/2017;Trieste;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;33
2016/2017;Trieste;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;F;33
2016/2017;Trieste;Laurea - dm 270/04;L-12;Mediazione linguistica;M;33
2016/2017;Trieste;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;M;33
2016/2017;Urbino;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;M;33
2016/2017;Urbino;Laurea Magistrale - dm 270/04;LM-87;Servizio sociale e politiche sociali;F;33
2016/2017;Verona;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;F;33
2016/2017;Tuscia;Laurea Magistrale - dm 270/04;LM-6;Biologia;F;33
2016/2017;Udine;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;F;33
2016/2017;Udine;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-41;Medicina e chirurgia;M;33
2016/2017;Roma LUMSA;Laurea - dm 270/04;L-33;Scienze economiche;F;33
2016/2017;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM/SNT1;Scienze infermieristiche e ostetriche;M;33
2016/2017;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-15;Filologia, letterature e storia dell'antichità;F;33
2016/2017;Roma LUMSA;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;M;33
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-19;Informazione e sistemi editoriali;F;33
2016/2017;Salerno;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;33
2016/2017;Sassari;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;33
2016/2017;Siena;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;F;33
2016/2017;Siena;Laurea - dm 270/04;L-27;Scienze e tecnologie chimiche;M;33
2016/2017;Roma UNINT;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;33
2016/2017;Roma UNINETTUNO - telematica;Laurea - dm 270/04;L-1;Beni culturali;M;33
2016/2017;Roma UNICUSANO - telematica;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;M;33
2016/2017;Roma Tre;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;M;33
2016/2017;Salento;Laurea - dm 270/04;L-30;Scienze e tecnologie fisiche;F;33
2016/2017;Salento;Laurea - dm 270/04;L-40;Sociologia;M;32
2016/2017;Salento;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;M;32
2016/2017;Salento;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;32
2016/2017;Roma Tre;Laurea Magistrale - dm 270/04;LM-20;Ingegneria aerospaziale e astronautica;M;32
2016/2017;Salerno;Laurea Magistrale - dm 270/04;LM-22;Ingegneria chimica;F;32
2016/2017;Salerno;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;M;32
2016/2017;Roma Tor Vergata;Laurea - dm 270/04;L-5;Filosofia;M;32
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-6;Biologia;M;32
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-68;Scienze e tecniche dello sport;M;32
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;M;32
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;32
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;32
2016/2017;Roma Tre;Laurea - dm 270/04;L-9;Ingegneria industriale;F;32
2016/2017;Roma Tre;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;F;32
2016/2017;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM/SNT3;Scienze delle professioni sanitarie tecniche;M;32
2016/2017;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;M;32
2016/2017;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-39;Linguistica;F;32
2016/2017;Udine;Laurea - dm 270/04;L-15;Scienze del turismo;M;32
2016/2017;Venezia Iuav;Laurea Magistrale - dm 270/04;LM-12;Design;M;32
2016/2017;Verona;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;F;32
2016/2017;Verona;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;F;32
2016/2017;Tuscia;Laurea - dm 270/04;L-1;Beni culturali;F;32
2016/2017;Trieste;Laurea - dm 270/04;L-35;Scienze matematiche;M;32
2016/2017;Torino Politecnico;Laurea Magistrale - dm 270/04;LM-35;Ingegneria per l'ambiente e il territorio;F;32
2016/2017;Trento;Laurea - dm 270/04;L-11;Lingue e culture moderne;M;32
2016/2017;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;M;32
2016/2017;Milano Cattolica;Laurea Magistrale - dm 270/04;LM-70;Scienze e tecnologie alimentari;F;32
2016/2017;Modena e Reggio Emilia;Laurea - dm 270/04;L-13;Scienze biologiche;M;32
2016/2017;Milano Politecnico;Laurea Magistrale - dm 270/04;LM-26;Ingegneria della sicurezza;M;32
2016/2017;Modena e Reggio Emilia;Laurea - dm 270/04;L-2;Biotecnologie;F;32
2016/2017;Milano Bicocca;Laurea Magistrale - dm 270/04;LM-8;Biotecnologie industriali;M;32
2016/2017;Milano;Laurea Magistrale - dm 270/04;LM-68;Scienze e tecniche dello sport;F;32
2016/2017;Napoli Parthenope;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;32
2016/2017;Molise;Laurea Magistrale - dm 270/04;LM-77;Scienze economico-aziendali;M;32
2016/2017;Napoli Benincasa;Laurea Magistrale - dm 270/04;LM-85;Scienze pedagogiche;F;32
2016/2017;Napoli Federico II;Laurea - dm 270/04;L-34;Scienze geologiche;M;32
2016/2017;Napoli Federico II;Laurea - dm 270/04;L-23;Scienze e tecniche dell'edilizia;F;32
2016/2017;Napoli Federico II;Laurea Magistrale - dm 270/04;LM-35;Ingegneria per l'ambiente e il territorio;M;32
2016/2017;Pisa;Laurea Magistrale - dm 270/04;LM-25;Ingegneria dell'automazione;M;32
2016/2017;Pisa;Laurea Magistrale - dm 270/04;LM-89;Storia dell'arte;F;32
2016/2017;Perugia;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;F;32
2016/2017;Perugia;Laurea - dm 270/04;L-9;Ingegneria industriale;F;32
2016/2017;Palermo;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;F;32
2016/2017;Padova;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;F;32
2016/2017;Palermo;Laurea - dm 270/04;L-27;Scienze e tecnologie chimiche;F;32
2016/2017;Camerino;Laurea - dm 270/04;L-29;Scienze e tecnologie farmaceutiche;F;32
2016/2017;Casamassima – LUM G. Degennaro;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;M;32
2016/2017;Calabria;Laurea Magistrale - dm 270/04;LM-6;Biologia;F;32
2016/2017;Cagliari;Laurea Magistrale - dm 270/04;LM-4;Architettura e ingegneria edile-architettura;F;32
2016/2017;Catania;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;M;32
2016/2017;Catanzaro;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;F;32
2016/2017;Brescia;Laurea - dm 270/04;L-33;Scienze economiche;F;32
2016/2017;Brescia;Laurea - dm 270/04;L-2;Biotecnologie;F;32
2016/2017;Ca' Foscari Venezia;Laurea Magistrale - dm 270/04;LM-94;Traduzione specialistica e interpretariato;F;32
2016/2017;Bologna;Laurea Magistrale - dm 270/04;LM-74;Scienze e tecnologie geologiche;M;32
2016/2017;Foggia;Laurea Magistrale - dm 270/04;LM-85;Scienze pedagogiche;F;32
2016/2017;Enna KORE;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;M;32
2016/2017;Firenze;Laurea - dm 270/04;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;32
2016/2017;Ferrara;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;32
2016/2017;Messina;Laurea Magistrale - dm 270/04;LM-55;Scienze cognitive;F;32
2016/2017;Messina;Laurea - dm 270/04;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;32
2016/2017;L'Aquila;Laurea Magistrale - dm 270/04;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;F;32
2016/2017;Insubria;Laurea - dm 270/04;L-13;Scienze biologiche;M;32
2016/2017;Bari Politecnico;Laurea Magistrale - dm 270/04;LM-25;Ingegneria dell'automazione;M;32
2016/2017;Bari Politecnico;Laurea - dm 270/04;L-23;Scienze e tecniche dell'edilizia;F;31
2016/2017;Bari;Laurea - dm 270/04;L-35;Scienze matematiche;M;31
2016/2017;Aosta;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;31
2016/2017;L'Aquila;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;31
2016/2017;Messina;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;M;31
2016/2017;Ferrara;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;M;31
2016/2017;Ferrara;Laurea - dm 270/04;L-7;Ingegneria civile e ambientale;F;31
2016/2017;Genova;Laurea Magistrale - dm 270/04;LM-12;Design;M;31
2016/2017;Genova;Laurea Magistrale - dm 270/04;LM-19;Informazione e sistemi editoriali;F;31
2016/2017;Firenze;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;M;31
2016/2017;Firenze;Laurea Magistrale - dm 270/04;LM-87;Servizio sociale e politiche sociali;F;31
2016/2017;Bologna;Laurea Magistrale - dm 270/04;LM-20;Ingegneria aerospaziale e astronautica;M;31
2016/2017;Bologna;Laurea Magistrale - dm 270/04;LM-24;Ingegneria dei sistemi edilizi;F;31
2016/2017;Catanzaro;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-13;Farmacia e farmacia industriale;M;31
2016/2017;Catania;Laurea Magistrale - dm 270/04;LM-69;Scienze e tecnologie agrarie;M;31
2016/2017;Cagliari;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;31
2016/2017;Calabria;Laurea - dm 270/04;L-42;Storia;M;31
2016/2017;Padova;Laurea Magistrale - dm 270/04;LM-92;Teorie della comunicazione;F;31
2016/2017;Palermo;Laurea Magistrale - dm 270/04;LM/SNT1;Scienze infermieristiche e ostetriche;F;31
2016/2017;Padova;Laurea Magistrale - dm 270/04;LM-71;Scienze e tecnologie della chimica industriale;M;31
2016/2017;Padova;Laurea Magistrale - dm 270/04;LM-82;Scienze statistiche;F;31
2016/2017;Perugia;Laurea Magistrale - dm 270/04;LM-74;Scienze e tecnologie geologiche;M;31
2016/2017;Pisa;Laurea Magistrale - dm 270/04;LM-84;Scienze storiche;M;31
2016/2017;Reggio Calabria;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;M;31
2016/2017;Pisa;Laurea Magistrale - dm 270/04;LM-78;Scienze filosofiche;F;31
2016/2017;Roma Europea;Laurea Magistrale a Ciclo Unico - dm 270/04;LM-85 bis;Scienze della formazione primaria;F;31
2016/2017;Roma  Mercatorum - telematica;Laurea - dm 270/04;L-15;Scienze del turismo;F;31
2016/2017;Napoli Parthenope;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;M;31
2016/2017;Napoli Vanvitelli;Laurea - dm 270/04;L-8;Ingegneria dell'informazione;F;31
2016/2017;Novedrate e-Campus - telematica;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;M;31
2016/2017;Padova;Laurea - dm 270/04;L-11;Lingue e culture moderne;M;31
2016/2017;Milano;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;M;31
2016/2017;Milano Cattolica;Laurea - dm 270/04;L-5;Filosofia;F;31
2016/2017;Modena e Reggio Emilia;Laurea - dm 270/04;L-12;Mediazione linguistica;M;31
2016/2017;Trieste;Laurea - dm 270/04;L-41;Statistica;M;31
2016/2017;Trieste;Laurea - dm 270/04;L-42;Storia;M;31
2016/2017;Trieste;Laurea - dm 270/04;L-34;Scienze geologiche;F;31
2016/2017;Torino;Laurea Magistrale - dm 270/04;LM-17;Fisica;F;31
2016/2017;Torino Politecnico;Laurea - dm 270/04;L-35;Scienze matematiche;F;31
2016/2017;Udine;Laurea - dm 270/04;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;31
2016/2017;Tuscia;Laurea Magistrale a Ciclo Unico - dm 270/04;LMG/01;Magistrali in giurisprudenza;M;31
2016/2017;Roma La Sapienza;Laurea Magistrale - dm 270/04;LM-5;Archivistica e biblioteconomia;F;31
2016/2017;Roma La Sapienza;Laurea - dm 270/04;L-43;Diagnostica per la conservazione dei beni culturali;F;31
2016/2017;Roma Tor Vergata;Laurea Magistrale - dm 270/04;LM-30;Ingegneria energetica e nucleare;M;31
2016/2017;Roma Tor Vergata;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;F;31
2016/2017;Roma Tor Vergata;Laurea Specialistica - dm 509/99;DS1/S;Specialistiche nelle scienze della difesa e della sicurezza;F;31
2016/2017;Roma Marconi - telematica;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;M;31
2016/2017;Sassari;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;M;31
