AnnoA;Area_Disc;GruppoCOD;Nome Gruppo Disciplinare;SESSO;Imm
2011/2012;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4272
2011/2012;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;10718
2011/2012;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;600
2010/2011;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;22449
2010/2011;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;18720
2010/2011;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;3586
2010/2011;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3682
2010/2011;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;23405
2010/2011;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;6891
2010/2011;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4154
2010/2011;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;14206
2010/2011;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;2660
2010/2011;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3190
2010/2011;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;22946
2010/2011;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;19492
2010/2011;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11568
2010/2011;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;7881
2010/2011;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;6836
2010/2011;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2094
2010/2011;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3669
2010/2011;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;525
2010/2011;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;12630
2010/2011;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;12352
2010/2011;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11284
2010/2011;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;11216
2010/2011;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12694
2010/2011;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;6376
2010/2011;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1138
2010/2011;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;5558
2010/2011;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1735
2010/2011;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;3723
2010/2011;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;21635
2010/2011;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9790
2009/2010;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;637
2009/2010;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;23284
2009/2010;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;24595
2009/2010;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3578
2009/2010;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;5565
2009/2010;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;6544
2009/2010;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;7138
2009/2010;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;11725
2009/2010;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11894
2009/2010;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4115
2009/2010;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1092
2009/2010;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;12234
2009/2010;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7998
2009/2010;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11379
2009/2010;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;13136
2009/2010;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10269
2009/2010;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;23335
2009/2010;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3122
2009/2010;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;8153
2009/2010;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1768
2009/2010;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3316
2009/2010;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3012
2009/2010;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;22678
2009/2010;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1870
2009/2010;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;18772
2009/2010;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;14160
2009/2010;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;12801
2009/2010;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;19955
2009/2010;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4119
2009/2010;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;3652
2008/2009;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3269
2008/2009;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;5075
2008/2009;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;595
2008/2009;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;25421
2008/2009;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;23755
2008/2009;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;12862
2008/2009;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;9193
2008/2009;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;7207
2008/2009;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3155
2008/2009;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3964
2008/2009;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;11512
2008/2009;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1795
2008/2009;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;18435
2008/2009;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;10996
2008/2009;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1248
2008/2009;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3118
2008/2009;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;21451
2008/2009;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;13099
2008/2009;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;12166
2008/2009;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;23273
2008/2009;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;12057
2008/2009;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3571
2008/2009;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;3802
2008/2009;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4492
2008/2009;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;8193
2008/2009;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;7542
2008/2009;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1988
2008/2009;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;16582
2008/2009;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10663
2008/2009;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;14454
2007/2008;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4084
2007/2008;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;26344
2007/2008;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;8352
2007/2008;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;688
2007/2008;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3664
2007/2008;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;23268
2007/2008;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;4507
2007/2008;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;12834
2007/2008;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4711
2007/2008;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2140
2007/2008;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;12080
2007/2008;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;14734
2007/2008;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11237
2007/2008;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;14270
2007/2008;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1756
2007/2008;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3793
2007/2008;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;7956
2007/2008;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;20334
2007/2008;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14298
2007/2008;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;19526
2007/2008;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;8950
2007/2008;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;8366
2007/2008;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;12556
2007/2008;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4246
2007/2008;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3234
2007/2008;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2996
2007/2008;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;23871
2007/2008;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;14397
2007/2008;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;16976
2007/2008;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1418
2006/2007;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3181
2006/2007;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;8466
2006/2007;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;16553
2006/2007;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;14158
2006/2007;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1629
2006/2007;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4503
2006/2007;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;7965
2006/2007;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;21804
2006/2007;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;22639
2006/2007;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;13678
2006/2007;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;7521
2006/2007;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3984
2006/2007;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;19907
2006/2007;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;4241
2006/2007;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;14265
2006/2007;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4700
2006/2007;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11559
2006/2007;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;26596
2006/2007;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;12187
2006/2007;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13018
2006/2007;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1505
2006/2007;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;15978
2006/2007;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;1735
2006/2007;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3393
2006/2007;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;8727
2006/2007;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;672
2006/2007;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;22568
2006/2007;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2889
2006/2007;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;13775
2006/2007;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;4389
