Year,Series,Subject,Region,Local authority,Sex,Ethnicity,Ethnic group,Special educational needs (SEN) status,Disadvantaged status,Free school meal status,First language,Unit measure,Observation status,GeoCode,Value
2018 to 2019,Attainment at age 7,Reading,East of England,Suffolk,,,,No SEN,,,,Percentage (%),Normal value,E12000006,80.0
2018 to 2019,Attainment at age 7,Reading,East of England,Suffolk,,,,,,FSM eligible,,Percentage (%),Normal value,E12000006,58.0
2018 to 2019,Attainment at age 7,Reading,East of England,Suffolk,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000006,75.0
2018 to 2019,Attainment at age 7,Reading,East of England,Suffolk,,,,,,,First language unclassified,Percentage (%),Normal value,E12000006,35.0
2018 to 2019,Attainment at age 7,Reading,East of England,Suffolk,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000006,74.0
2018 to 2019,Attainment at age 7,Reading,East of England,Suffolk,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000006,63.0
2018 to 2019,Attainment at age 7,Reading,East of England,Suffolk,,,,,,,,Percentage (%),Normal value,E12000006,73.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000006,88.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,Asian,,,,,,Percentage (%),Normal value,E12000006,90.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,Black,,,,,,Percentage (%),Normal value,E12000006,91.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,Mixed,,,,,,Percentage (%),Normal value,E12000006,83.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000006,68.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,White,,,,,,Percentage (%),Normal value,E12000006,76.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,,,All SEN,,,,Percentage (%),Normal value,E12000006,30.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,,,No SEN,,,,Percentage (%),Normal value,E12000006,86.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000006,70.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000006,81.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000006,44.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000006,79.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000006,84.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Female,,,,,,,Percentage (%),Normal value,E12000006,80.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000006,81.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,Asian,,,,,,Percentage (%),Normal value,E12000006,77.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,Black,,,,,,Percentage (%),Normal value,E12000006,79.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,Mixed,,,,,,Percentage (%),Normal value,E12000006,78.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000006,73.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,White,,,,,,Percentage (%),Normal value,E12000006,66.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,,,All SEN,,,,Percentage (%),Normal value,E12000006,26.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,,,No SEN,,,,Percentage (%),Normal value,E12000006,82.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000006,55.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000006,72.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000006,50.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000006,69.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000006,75.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,Male,,,,,,,Percentage (%),Normal value,E12000006,70.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000006,84.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,Asian,,,,,,Percentage (%),Normal value,E12000006,82.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,Black,,,,,,Percentage (%),Normal value,E12000006,84.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,Mixed,,,,,,Percentage (%),Normal value,E12000006,80.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,Unclassified,,,,,,Percentage (%),Normal value,E12000006,70.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,White,,,,,,Percentage (%),Normal value,E12000006,71.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,,,All SEN,,,,Percentage (%),Normal value,E12000006,27.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,,,No SEN,,,,Percentage (%),Normal value,E12000006,84.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,,,,,FSM eligible,,Percentage (%),Normal value,E12000006,62.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000006,77.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,,,,,,First language unclassified,Percentage (%),Normal value,E12000006,47.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000006,74.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000006,79.0
2018 to 2019,Attainment at age 7,Reading,East of England,Thurrock,,,,,,,,Percentage (%),Normal value,E12000006,75.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000006,73.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,Asian,,,,,,Percentage (%),Normal value,E12000006,81.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,Black,,,,,,Percentage (%),Normal value,E12000006,83.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,Mixed,,,,,,Percentage (%),Normal value,E12000006,80.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000006,66.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,White,,,,,,Percentage (%),Normal value,E12000006,78.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,,,All SEN,,,,Percentage (%),Normal value,E12000006,26.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,,,No SEN,,,,Percentage (%),Normal value,E12000006,84.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000006,63.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000006,81.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000006,45.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000006,80.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000006,75.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Female,,,,,,,Percentage (%),Normal value,E12000006,79.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000006,69.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,Asian,,,,,,Percentage (%),Normal value,E12000006,72.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,Black,,,,,,Percentage (%),Normal value,E12000006,69.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,Mixed,,,,,,Percentage (%),Normal value,E12000006,73.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000006,56.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,White,,,,,,Percentage (%),Normal value,E12000006,71.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,,,All SEN,,,,Percentage (%),Normal value,E12000006,30.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,,,No SEN,,,,Percentage (%),Normal value,E12000006,81.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000006,52.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000006,74.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000006,37.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000006,72.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000006,67.0
2018 to 2019,Attainment at age 7,Reading,East of England,,Male,,,,,,,Percentage (%),Normal value,E12000006,71.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000006,71.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,Asian,,,,,,Percentage (%),Normal value,E12000006,77.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,Black,,,,,,Percentage (%),Normal value,E12000006,76.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,Mixed,,,,,,Percentage (%),Normal value,E12000006,76.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,Unclassified,,,,,,Percentage (%),Normal value,E12000006,61.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,White,,,,,,Percentage (%),Normal value,E12000006,75.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,,,All SEN,,,,Percentage (%),Normal value,E12000006,29.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,,,No SEN,,,,Percentage (%),Normal value,E12000006,82.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,,,,,FSM eligible,,Percentage (%),Normal value,E12000006,57.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000006,77.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,,,,,,First language unclassified,Percentage (%),Normal value,E12000006,41.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000006,76.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000006,70.0
2018 to 2019,Attainment at age 7,Reading,East of England,,,,,,,,,Percentage (%),Normal value,E12000006,75.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E13000001,75.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,Asian,,,,,,Percentage (%),Normal value,E13000001,83.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,Black,,,,,,Percentage (%),Normal value,E13000001,81.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,Mixed,,,,,,Percentage (%),Normal value,E13000001,82.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,Unclassified,,,,,,Percentage (%),Normal value,E13000001,61.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,White,,,,,,Percentage (%),Normal value,E13000001,82.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,,,All SEN,,,,Percentage (%),Normal value,E13000001,37.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,,,No SEN,,,,Percentage (%),Normal value,E13000001,87.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,,,,,FSM eligible,,Percentage (%),Normal value,E13000001,73.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E13000001,83.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,,,,,,First language unclassified,Percentage (%),Normal value,E13000001,43.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E13000001,83.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E13000001,80.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Female,,,,,,,Percentage (%),Normal value,E13000001,81.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E13000001,68.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,Asian,,,,,,Percentage (%),Normal value,E13000001,75.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,Black,,,,,,Percentage (%),Normal value,E13000001,72.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,Mixed,,,,,,Percentage (%),Normal value,E13000001,77.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,Unclassified,,,,,,Percentage (%),Normal value,E13000001,53.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,White,,,,,,Percentage (%),Normal value,E13000001,77.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,,,All SEN,,,,Percentage (%),Normal value,E13000001,39.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,,,No SEN,,,,Percentage (%),Normal value,E13000001,85.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,,,,,FSM eligible,,Percentage (%),Normal value,E13000001,66.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E13000001,77.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,,,,,,First language unclassified,Percentage (%),Normal value,E13000001,40.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E13000001,76.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E13000001,73.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,Male,,,,,,,Percentage (%),Normal value,E13000001,74.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,Other ethnic group,,,,,,Percentage (%),Normal value,E13000001,72.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,Asian,,,,,,Percentage (%),Normal value,E13000001,79.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,Black,,,,,,Percentage (%),Normal value,E13000001,77.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,Mixed,,,,,,Percentage (%),Normal value,E13000001,79.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,Unclassified,,,,,,Percentage (%),Normal value,E13000001,57.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,White,,,,,,Percentage (%),Normal value,E13000001,79.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,,,All SEN,,,,Percentage (%),Normal value,E13000001,38.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,,,No SEN,,,,Percentage (%),Normal value,E13000001,86.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,,,,,FSM eligible,,Percentage (%),Normal value,E13000001,69.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E13000001,80.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,,,,,,First language unclassified,Percentage (%),Normal value,E13000001,41.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,,,,,,Known or believed to be english,Percentage (%),Normal value,E13000001,80.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E13000001,77.0
2018 to 2019,Attainment at age 7,Reading,Inner London,,,,,,,,,Percentage (%),Normal value,E13000001,78.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,82.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,Asian,,,,,,Percentage (%),Normal value,E12000007,82.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,Black,,,,,,Percentage (%),Normal value,E12000007,87.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,Mixed,,,,,,Percentage (%),Normal value,E12000007,80.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000007,34.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,White,,,,,,Percentage (%),Normal value,E12000007,73.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,,,All SEN,,,,Percentage (%),Normal value,E12000007,44.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,,,No SEN,,,,Percentage (%),Normal value,E12000007,84.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,74.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,80.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,39.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,80.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,80.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Female,,,,,,,Percentage (%),Normal value,E12000007,79.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,73.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,Asian,,,,,,Percentage (%),Normal value,E12000007,69.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,Black,,,,,,Percentage (%),Normal value,E12000007,73.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,Mixed,,,,,,Percentage (%),Normal value,E12000007,69.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000007,55.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,White,,,,,,Percentage (%),Normal value,E12000007,64.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,,,All SEN,,,,Percentage (%),Normal value,E12000007,36.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,,,No SEN,,,,Percentage (%),Normal value,E12000007,79.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,58.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,70.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,60.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,64.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,71.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,Male,,,,,,,Percentage (%),Normal value,E12000007,68.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,77.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,Asian,,,,,,Percentage (%),Normal value,E12000007,75.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,Black,,,,,,Percentage (%),Normal value,E12000007,79.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,Mixed,,,,,,Percentage (%),Normal value,E12000007,74.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,Unclassified,,,,,,Percentage (%),Normal value,E12000007,44.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,White,,,,,,Percentage (%),Normal value,E12000007,69.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,,,All SEN,,,,Percentage (%),Normal value,E12000007,38.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,,,No SEN,,,,Percentage (%),Normal value,E12000007,81.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,66.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,75.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,49.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,72.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,75.0
2018 to 2019,Attainment at age 7,Reading,London,Barking and Dagenham,,,,,,,,Percentage (%),Normal value,E12000007,73.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,78.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,Asian,,,,,,Percentage (%),Normal value,E12000007,87.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,Black,,,,,,Percentage (%),Normal value,E12000007,82.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,Mixed,,,,,,Percentage (%),Normal value,E12000007,85.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000007,68.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,White,,,,,,Percentage (%),Normal value,E12000007,82.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,,,All SEN,,,,Percentage (%),Normal value,E12000007,41.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,,,No SEN,,,,Percentage (%),Normal value,E12000007,87.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,72.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,84.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,29.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,87.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,78.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Female,,,,,,,Percentage (%),Normal value,E12000007,82.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,65.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,Asian,,,,,,Percentage (%),Normal value,E12000007,79.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,Black,,,,,,Percentage (%),Normal value,E12000007,73.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,Mixed,,,,,,Percentage (%),Normal value,E12000007,80.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,Unclassified,,,,,,Percentage (%),Normal value,E12000007,63.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,White,,,,,,Percentage (%),Normal value,E12000007,78.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,,,All SEN,,,,Percentage (%),Normal value,E12000007,41.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,,,No SEN,,,,Percentage (%),Normal value,E12000007,85.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,65.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,78.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,26.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,81.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,72.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,Male,,,,,,,Percentage (%),Normal value,E12000007,76.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,71.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,Asian,,,,,,Percentage (%),Normal value,E12000007,83.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,Black,,,,,,Percentage (%),Normal value,E12000007,78.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,Mixed,,,,,,Percentage (%),Normal value,E12000007,82.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,Unclassified,,,,,,Percentage (%),Normal value,E12000007,65.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,White,,,,,,Percentage (%),Normal value,E12000007,80.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,,,All SEN,,,,Percentage (%),Normal value,E12000007,41.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,,,No SEN,,,,Percentage (%),Normal value,E12000007,86.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,,,,,FSM eligible,,Percentage (%),Normal value,E12000007,68.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000007,81.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,,,,,,First language unclassified,Percentage (%),Normal value,E12000007,28.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000007,84.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000007,75.0
2018 to 2019,Attainment at age 7,Reading,London,Barnet,,,,,,,,Percentage (%),Normal value,E12000007,79.0
2018 to 2019,Attainment at age 7,Reading,London,Bexley,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000007,72.0
2018 to 2019,Attainment at age 7,Reading,London,Bexley,Female,Asian,,,,,,Percentage (%),Normal value,E12000007,90.0
