Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Sicilia;25,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;64,59;Sufficienza
Abruzzo;18,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;64,60;Sufficienza
Calabria;24,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;64,61;Sufficienza
Puglia;21,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Matematica;2022-2023;64,64;Sufficienza
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;64,65;Sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;64,73;Non sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;64,79;Sufficienza
Campania;20,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;64,83;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Matematica;2021-2022;64,85;Sufficienza
Emilia-Romagna;11,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;64,88;Sufficienza
Emilia-Romagna;11,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;64,88;Sufficienza
Campania;20,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;64,93;Sufficienza
Sicilia;25,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;64,94;Sufficienza
Piemonte;3,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;64,99;Sufficienza
Toscana;13,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;65,00;Sufficienza
Calabria;24,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;65,04;Sufficienza
Campania;20,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;65,08;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;65,12;Sufficienza
Basilicata;23,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;65,14;Sufficienza
Liguria;4,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;65,15;Sufficienza
Sicilia;25,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;65,16;Sufficienza
Puglia;21,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;65,20;Sufficienza
Toscana;13,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;65,26;Sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;65,33;Sufficienza
Piemonte;3,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;65,48;Sufficienza
Umbria;14,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;65,49;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;65,50;Sufficienza
Prov. Aut. Trento;8,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;65,51;Sufficienza
Liguria;4,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;65,52;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;65,58;Sufficienza
Sicilia;25,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;65,64;Sufficienza
Sardegna;26,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;65,67;Raggiungono il traguardo
Sardegna;26,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;65,67;Sufficienza
Liguria;4,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;65,68;Sufficienza
Liguria;4,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;65,77;Sufficienza
Umbria;14,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;65,78;Sufficienza
Veneto;9,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;65,79;Sufficienza
Piemonte;3,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;65,80;Sufficienza
Valle d'Aosta;2,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;65,83;Sufficienza
Piemonte;3,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;66,01;Sufficienza
Calabria;24,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;66,02;Sufficienza
Sicilia;25,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;66,05;Non sufficienza
Lazio;16,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;66,05;Sufficienza
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;66,07;Sufficienza
Sardegna;26,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;66,07;Non sufficienza
Emilia-Romagna;11,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;66,09;Sufficienza
Emilia-Romagna;11,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;66,11;Sufficienza
Campania;20,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;66,17;Sufficienza
Piemonte;3,00;;;;;;Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;66,39;Sufficienza
Piemonte;3,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;66,41;Sufficienza
Calabria;24,00;;;;;;Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;66,60;Sufficienza
Lazio;16,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;66,61;Sufficienza
Lazio;16,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;66,61;Sufficienza
Sardegna;26,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;66,67;Raggiungono il traguardo
Liguria;4,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;66,70;Sufficienza
Umbria;14,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;66,79;Sufficienza
Umbria;14,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;66,84;Sufficienza
Veneto;9,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;66,84;Sufficienza
Lombardia;5,00;;;;;;Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;66,88;Sufficienza
Valle d'Aosta;2,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;66,92;Sufficienza
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;66,96;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;66,96;Sufficienza
Puglia;21,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;66,99;Sufficienza
Sicilia;25,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;67,01;Sufficienza
Emilia-Romagna;11,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;67,08;Sufficienza
Lombardia;5,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;67,12;Sufficienza
Campania;20,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;67,14;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;67,18;Sufficienza
Piemonte;3,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;67,18;Sufficienza
Basilicata;23,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;67,20;Sufficienza
Toscana;13,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;67,25;Sufficienza
Lombardia;5,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;67,32;Sufficienza
Toscana;13,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Matematica;2021-2022;67,33;Sufficienza
Veneto;9,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;67,35;Sufficienza
Veneto;9,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;67,36;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;67,38;Sufficienza
Calabria;24,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;67,39;Sufficienza
Piemonte;3,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;67,48;Sufficienza
Lombardia;5,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;67,50;Sufficienza
Toscana;13,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;67,55;Sufficienza
Sicilia;25,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;67,59;Raggiungono il traguardo
Lombardia;5,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;67,64;Sufficienza
Veneto;9,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;67,65;Sufficienza
Valle d'Aosta;2,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;67,66;Sufficienza
Piemonte;3,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;67,68;Sufficienza
Veneto;9,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;67,70;Sufficienza
Emilia-Romagna;11,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;67,75;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;67,77;Sufficienza
Piemonte;3,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;67,78;Sufficienza
Sardegna;26,00;Not Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;67,79;Raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;67,81;Sufficienza
Puglia;21,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;67,82;Sufficienza
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;67,83;Sufficienza
Veneto;9,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;67,85;Sufficienza
Campania;20,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;67,97;Sufficienza
Abruzzo;18,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;68,01;Sufficienza
Campania;20,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;68,01;Sufficienza
Toscana;13,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;68,04;Sufficienza
Veneto;9,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;68,08;Sufficienza
Lombardia;5,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;68,09;Sufficienza
Lombardia;5,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;68,11;Sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;68,14;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;68,18;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;68,21;Sufficienza
Lombardia;5,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;68,26;Sufficienza
Lombardia;5,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;68,35;Sufficienza
Campania;20,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;68,36;Sufficienza
Emilia-Romagna;11,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;68,42;Sufficienza
Calabria;24,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;68,49;Sufficienza
Abruzzo;18,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;68,49;Sufficienza
Campania;20,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;68,61;Sufficienza
Toscana;13,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;68,64;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;68,66;Sufficienza
Calabria;24,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;68,79;Sufficienza
Prov. Aut. Trento;8,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;68,82;Sufficienza
Campania;20,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;68,82;Sufficienza
Friuli-Venezia Giulia;10,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;68,83;Sufficienza
Marche;15,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;68,85;Sufficienza
Friuli-Venezia Giulia;10,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;68,87;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;68,88;Sufficienza
Marche;15,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;68,88;Sufficienza
Calabria;24,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;68,92;Sufficienza
Sicilia;25,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;68,95;Sufficienza
Toscana;13,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;68,99;Sufficienza
Valle d'Aosta;2,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;69,02;Sufficienza
Sardegna;26,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;69,04;Non sufficienza
Sicilia;25,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;69,04;Sufficienza
Puglia;21,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;69,08;Sufficienza
Puglia;21,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;69,11;Sufficienza
Puglia;21,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;69,18;Sufficienza
Sardegna;26,00;;;;;;Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;69,28;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;69,28;Sufficienza
Liguria;4,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Matematica;2020-2021;69,34;Sufficienza
Campania;20,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;69,38;Sufficienza
Piemonte;3,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;69,41;Sufficienza
Campania;20,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;69,42;Sufficienza
Toscana;13,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;69,43;Sufficienza
Molise;19,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;69,44;Sufficienza
Calabria;24,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;69,48;Sufficienza
Veneto;9,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;69,50;Sufficienza
Lazio;16,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;69,53;Sufficienza
Piemonte;3,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;69,53;Sufficienza
Emilia-Romagna;11,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;69,56;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;69,64;Sufficienza
Marche;15,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;69,66;Sufficienza
Abruzzo;18,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Matematica;2020-2021;69,74;Sufficienza
Lazio;16,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;69,76;Sufficienza
Lombardia;5,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;69,77;Sufficienza
Emilia-Romagna;11,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;69,79;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;69,83;Sufficienza
Valle d'Aosta;2,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;69,83;Sufficienza
Lombardia;5,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;69,84;Sufficienza
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;69,84;Sufficienza
Calabria;24,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 5;Inglese Listening;2022-2023;69,85;Raggiungono il traguardo
Valle d'Aosta;2,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;69,92;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;69,96;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;69,99;Sufficienza
Sardegna;26,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;70,02;Sufficienza
Toscana;13,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;70,04;Sufficienza
Valle d'Aosta;2,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;70,11;Sufficienza
Lazio;16,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;70,11;Sufficienza
Sardegna;26,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;70,19;Sufficienza
Sicilia;25,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;70,19;Sufficienza
Puglia;21,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;70,19;Sufficienza
Piemonte;3,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;70,19;Sufficienza
Calabria;24,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;70,24;Raggiungono il traguardo
Abruzzo;18,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;70,28;Sufficienza
Puglia;21,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;70,28;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;70,33;Sufficienza
Calabria;24,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Italiano;2021-2022;70,49;Sufficienza
Emilia-Romagna;11,00;;;;;;Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;70,51;Sufficienza
Campania;20,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;70,56;Sufficienza
Abruzzo;18,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;70,65;Sufficienza
Emilia-Romagna;11,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;70,65;Sufficienza
Veneto;9,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;70,67;Sufficienza
Lazio;16,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;70,76;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;70,80;Sufficienza
Campania;20,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;70,87;Sufficienza
Abruzzo;18,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;70,94;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;70,95;Sufficienza
Toscana;13,00;;;;;Not Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;70,97;Sufficienza
Sardegna;26,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;70,99;Sufficienza
Friuli-Venezia Giulia;10,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;71,01;Sufficienza
Emilia-Romagna;11,00;;;Not Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;71,01;Sufficienza
Veneto;9,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;71,07;Sufficienza
Veneto;9,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;71,15;Sufficienza
Sardegna;26,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;71,15;Sufficienza
Emilia-Romagna;11,00;;Statistically significant;Not Statistically significant;;;;;Grado 2;Matematica;2020-2021;71,19;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;71,23;Sufficienza
Campania;20,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;71,29;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;71,32;Sufficienza
Marche;15,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;71,34;Sufficienza
Veneto;9,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;71,34;Sufficienza
Piemonte;3,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;71,37;Sufficienza
Basilicata;23,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;71,40;Sufficienza
Lombardia;5,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;71,41;Sufficienza
Sardegna;26,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;71,41;Sufficienza
Veneto;9,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;71,44;Sufficienza
Basilicata;23,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;71,48;Sufficienza
Veneto;9,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;71,49;Sufficienza
Piemonte;3,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;71,53;Sufficienza
Valle d'Aosta;2,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;71,56;Sufficienza
Umbria;14,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;71,57;Sufficienza
Marche;15,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;71,58;Sufficienza
Piemonte;3,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;71,61;Sufficienza
Puglia;21,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;71,62;Sufficienza
Calabria;24,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;71,79;Sufficienza
Toscana;13,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;71,80;Sufficienza
Friuli-Venezia Giulia;10,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;71,81;Sufficienza
Sardegna;26,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;71,82;Sufficienza
Abruzzo;18,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;71,93;Sufficienza
Sicilia;25,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;71,94;Sufficienza
Liguria;4,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;71,96;Sufficienza
Emilia-Romagna;11,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Matematica;2020-2021;71,96;Sufficienza
Valle d'Aosta;2,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;71,98;Sufficienza
Piemonte;3,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;71,99;Sufficienza
Emilia-Romagna;11,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;72,04;Sufficienza
Umbria;14,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;72,04;Sufficienza
Lazio;16,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;72,04;Sufficienza
Lombardia;5,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;72,05;Sufficienza
Toscana;13,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;72,07;Sufficienza
Sardegna;26,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;72,09;Raggiungono il traguardo
Liguria;4,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;72,10;Sufficienza
Lazio;16,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;72,12;Sufficienza
Liguria;4,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;72,13;Sufficienza
Liguria;4,00;;;Statistically significant;;Not Statistically significant;;;Grado 2;Italiano;2021-2022;72,15;Sufficienza
Basilicata;23,00;;;;;Statistically significant;Statistically significant;;Grado 5;Italiano;2022-2023;72,17;Sufficienza
Piemonte;3,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;72,19;Sufficienza
Valle d'Aosta;2,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;72,22;Sufficienza
Emilia-Romagna;11,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;72,24;Sufficienza
Sicilia;25,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;72,25;Sufficienza
Veneto;9,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;72,25;Sufficienza
Valle d'Aosta;2,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;72,27;Sufficienza
Veneto;9,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;72,27;Sufficienza
Lombardia;5,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;72,28;Sufficienza
Prov. Aut. Bolzano (l. it.);7,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;72,31;Sufficienza
Lazio;16,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;72,36;Sufficienza
Friuli-Venezia Giulia;10,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Matematica;2021-2022;72,38;Sufficienza
Lazio;16,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;72,39;Sufficienza
Valle d'Aosta;2,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;72,44;Sufficienza
